player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Irv Smith Jr.,42060,TE,HST,1,82.4,0,13,55.7,69.7,58.1,0,0,1,33.3,25.0,100.0,0,0,0,14,0,0,0,17,1,4,0,0,13,16
Demario Douglas,104155,WR,NE,1,31.1,0,19,58.1,,59.3,0,0,0,0.0,0.0,,1,0,0,14,0,0,0,45,0,31,0,0,14,0
Patrick Mahomes,11765,QB,KC,1,19.7,0,16,72.6,,60.0,0,0,0,0.0,0.0,,0,0,0,14,0,0,0,71,0,56,0,0,14,0
Tucker Fisk,52286,TE,LAC,1,66.7,0,27,54.2,61.4,57.2,0,0,1,12.5,12.5,100.0,0,0,0,14,0,0,0,21,1,8,0,0,13,18
Amari Cooper,9437,WR,BUF,1,51.9,0,4,64.4,,62.9,0,0,0,0.0,0.0,,0,0,0,14,0,0,0,27,0,13,0,0,14,0
Joe Burrow,28022,QB,CIN,1,21.0,0,7,87.8,,60.0,0,0,0,0.0,0.0,,0,0,0,13,0,0,0,62,0,49,0,0,13,0
Kyle Juszczyk,7912,FB,SF,1,61.9,0,28,29.6,,58.2,0,0,0,0.0,0.0,,0,0,0,13,0,0,0,21,0,7,0,0,13,0
Nelson Agholor,9453,WR,BLT,1,32.5,0,3,47.5,,59.6,0,0,0,0.0,0.0,,0,0,0,13,0,0,0,40,0,27,0,0,13,5
Hunter Long,60859,TE,LA,1,68.4,0,26,51.5,70.2,56.7,0,0,1,14.3,14.3,100.0,0,0,0,13,0,0,0,19,1,7,0,0,12,16
MyCole Pruitt,9576,TE,PIT,1,52.0,1,25,62.4,71.5,64.9,0,0,2,14.3,14.3,100.0,1,0,0,13,0,0,0,25,2,14,0,0,11,23
