Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
481,Xavien Howard,MIA,CB,11,LV,0,0,0,0,0,0,0,0,0.08,0.13,0.07,0.04,0,0
481,Osa Odighizuwa,DAL,DT,11,CAR,0,0,0,0,0,0,0,0,0.31,0.01,0.05,0.03,0,0
481,Cameron Sutton,DET,CB,11,CHI,0,0,0,0,0,0,0,0,0.09,0.09,0.09,0.05,0,0
481,Ed Oliver,BUF,DT,11,NYJ,0,0,0,0,0,0,0,0,0.3,0.01,0.04,0.02,0,0
481,Keisean Nixon,GB,CB,11,LAC,0,0,0,0,0,0,0,0,0.1,0.04,0.04,0.02,0,0
481,Pat Surtain II,DEN,CB,11,MIN,0,0,0,0,0,0,0,0,0.08,0.11,0.06,0.03,0,0
481,Micah Hyde,BUF,S,11,NYJ,0,0,0,0,0,0,0,0,0.1,0.12,0.05,0.02,0,0
481,Deonte Banks,NYG,CB,11,WAS,0,0,0,0,0,0,0,0,0.08,0.06,0.06,0.03,0,0
481,Taylor Rapp,BUF,S,11,NYJ,0,0,0,0,0,0,0,0,0.11,0.06,0.04,0.02,0,0
481,Bryan Cook,KC,S,11,PHI,0,0,0,0,0,0,0,0,0.12,0.08,0.06,0.03,0,0
481,Yannick Ngakoue,CHI,DE,11,DET,0,0,0,0,0,0,0,0,0.27,0.01,0.05,0.03,0,0
481,Jonathan Harris,DEN,DL,11,MIN,0,0,0,0,0,0,0,0,0.32,0.01,0.03,0.02,0,0
481,Derrick Nnadi,KC,DT,11,PHI,0,0,0,0,0,0,0,0,0.31,0.01,0.04,0.02,0,0
481,Jaylon Johnson,CHI,CB,11,DET,0,0,0,0,0,0,0,0,0.09,0.04,0.07,0.03,0,0
481,DJ Johnson,CAR,OLB,11,DAL,0,0,0,0,0,0,0,0,0.2,0.03,0.04,0.02,0,0
481,Teair Tart,TEN,DT,11,JAX,0,0,0,0,0,0,0,0,0.29,0.03,0.03,0.02,0,0
481,Bradley Roby,PHI,CB,11,KC,0,0,0,0,0,0,0,0,0.09,0.06,0.05,0.02,0,0
481,Troy Hill,CAR,CB,11,DAL,0,0,0,0,0,0,0,0,0.1,0.08,0.04,0.02,0,0
481,Nick Williams,LAC,DL,11,GB,0,0,0,0,0,0,0,0,0.3,0.01,0.04,0.02,0,0
481,Kareem Jackson,DEN,S,11,MIN,0,0,0,0,0,0,0,0,0.12,0.04,0.04,0.02,0,0
481,Ronald Darby,BAL,CB,11,CIN,0,0,0,0,0,0,0,0,0.09,0.02,0.06,0.03,0,0
481,Michael Pierce,BAL,NT,11,CIN,0,0,0,0,0,0,0,0,0.28,0.01,0.04,0.02,0,0
481,Marco Wilson,ARI,CB,11,HOU,0,0,0,0,0,0,0,0,0.09,0.03,0.06,0.03,0,0
481,Darnay Holmes,NYG,CB,11,WAS,0,0,0,0,0,0,0,0,0.08,0.08,0.06,0.03,0,0
481,Steven Nelson,HOU,CB,11,ARI,0,0,0,0,0,0,0,0,0.1,0.1,0.04,0.02,0,0
481,Darious Williams,JAX,CB,11,TEN,0,0,0,0,0,0,0,0,0.07,0.06,0.06,0.03,0,0
481,Kader Kohou,MIA,CB,11,LV,0,0,0,0,0,0,0,0,0.08,0.04,0.06,0.03,0,0
481,Rashan Gary,GB,LB,11,LAC,0,0,0,0,0,0,0,0,0.19,0.01,0.03,0.02,0,0
481,Derek Stingley Jr.,HOU,CB,11,ARI,0,0,0,0,0,0,0,0,0.09,0.06,0.04,0.02,0,0
481,Logan Hall,TB,DL,11,SF,0,0,0,0,0,0,0,0,0.28,0.02,0.03,0.02,0,0
481,Za'Darius Smith,CLE,DE,11,PIT,0,0,0,0,0,0,0,0,0.27,0.01,0.03,0.01,0,0
481,Austin Johnson,LAC,DL,11,GB,0,0,0,0,0,0,0,0,0.29,0.02,0.04,0.02,0,0
481,Ambry Thomas,SF,CB,11,TB,0,0,0,0,0,0,0,0,0.09,0.01,0.06,0.03,0,0
481,John Franklin-Myers,NYJ,DL,11,BUF,0,0,0,0,0,0,0,0,0.25,0.04,0.04,0.02,0,0
481,Greg Rousseau,BUF,DE,11,NYJ,0,0,0,0,0,0,0,0,0.25,0.02,0.03,0.01,0,0
481,Kenny Clark,GB,DL,11,LAC,0,0,0,0,0,0,0,0,0.28,0.01,0.04,0.02,0,0
481,Kayvon Thibodeaux,NYG,OLB,11,WAS,0,0,0,0,0,0,0,0,0.16,0.02,0.06,0.03,0,0
481,D.J. Jones,DEN,DT,11,MIN,0,0,0,0,0,0,0,0,0.28,0.01,0.04,0.02,0,0
481,Rashaan Evans,DAL,ILB,11,CAR,0,0,0,0,0,0,0,0,0.19,0.02,0.03,0.02,0,0
481,Tre Hawkins III,NYG,CB,11,WAS,0,0,0,0,0,0,0,0,0.08,0.02,0.06,0.03,0,0
481,Adam Gotsis,JAX,DL,11,TEN,0,0,0,0,0,0,0,0,0.26,0.02,0.04,0.02,0,0
481,Troy Dye,MIN,LB,11,DEN,0,0,0,0,0,0,0,0,0.21,0.01,0.02,0.01,0,0
481,Jihad Ward,NYG,OLB,11,WAS,0,0,0,0,0,0,0,0,0.25,0.01,0.06,0.03,0,0
481,Johnathan Hankins,DAL,DT,11,CAR,0,0,0,0,0,0,0,0,0.27,0.01,0.05,0.02,0,0
481,Tashaun Gipson Sr.,SF,S,11,TB,0,0,0,0,0,0,0,0,0.1,0.08,0.07,0.03,0,0
481,Quinton Jefferson,NYJ,DL,11,BUF,0,0,0,0,0,0,0,0,0.25,0.01,0.03,0.02,0,0
481,Nick McCloud,NYG,CB,11,WAS,0,0,0,0,0,0,0,0,0.08,0.04,0.06,0.03,0,0
481,Dre'Mont Jones,SEA,DE,11,LAR,0,0,0,0,0,0,0,0,0.25,0.01,0.04,0.02,0,0
481,Travis Jones,BAL,DT,11,CIN,0,0,0,0,0,0,0,0,0.27,0.01,0.03,0.02,0,0
481,Keeanu Benton,PIT,DL,11,CLE,0,0,0,0,0,0,0,0,0.27,0.01,0.03,0.01,0,0
