,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,,,,Overall Rankings,,,,,,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Tucker Kraft,,0,TE,TE1,3900,GB,@ MIN,21,24,6.2,5.6,10,0,0,0,0,0,0,0,0,0,4.32,0.1538,4.32,3.26,42.68,0.42,0,0,0,0,0,0,10.05,10.05,0,0.75,22.45,10.05,10.05,19,13,16,16,0,100,,90,48,127,127,22,2.6,0,,,,,,,,,0.1,0.21,,3.45,2.59,33.55,0.31,,,,,,,
Elijah Moore,,0,WR,WR2,4300,CLE,vs MIA,20,14.75,6.7,8.4,7.7,0,0,0,0,0,0,0,0,0,8.91,0.2462,8.91,5.19,41.86,0.11,0,0,0,0,0,0,10.04,10.04,0,0,23.44,10.04,10.04,40,35,51,51,0,100,,90,44,128,128,22,2.3,0,,,,,,,,,0.36,1.27,0.02,6.07,3.5,37.95,0.16,,,,,,,
Jaylen Waddle,!,0,WR,WR2,5400,MIA,@ CLE,8,18.25,8.9,14.8,10.5,0,0,0,0,0,0,0,0,0,5.85,0.1789,5.85,4.14,47.59,0.18,0,0,0,0,0,0,9.98,9.98,0,0,27.78,9.98,9.98,40,24,52,52,0,100,,90,33,129,129,39,1.8,0,,,,,,,,,0.18,0.77,0.02,7.13,5,66.97,0.33,,,,,,,
Xavier Worthy,,0,WR,WR1,5600,KC,@ PIT,27,23.75,6.7,0,11,0,0,0,0,0,0,0,0,0,6.72,0.175,6.72,3.91,40.82,0.33,0,0,0,0,0,0,9.97,9.97,0,0,23.37,9.97,9.97,5,22,53,53,0,100,,11,31,130,130,39,1.8,22.9,4.1,,,,,,,,1.2,6.27,0.2,5.93,3.4,37.27,0.33,,,,,,,
Pat Freiermuth,,0,TE,TE1,3900,PIT,vs KC,16,22.25,5,7.3,9.1,0,0,0,0,0,0,0,0,0,4.74,0.1428,4.74,3.61,35.88,0.42,0,0,0,0,0,0,9.72,9.72,0,2.22,19.72,9.72,9.72,5,13,17,17,0,100,,31,48,131,131,45,2.5,12,3.1,,,,,,,,,,,4.96,3.6,35.88,0.3,,,,,,,
Dalton Kincaid,,0,TE,TE1,4300,BUF,vs NYJ,25,27.75,4.8,9.5,8,0,0,0,0,0,0,0,0,0,7.07,0.2112,7.07,4.53,40.91,0.18,0,0,0,0,0,0,9.7,9.7,0,2.5,19.3,9.7,9.7,19,9,18,18,0,100,,90,44,132,132,45,2.3,0,,,,,,,,,,,,5.86,4.11,39.18,0.14,,,,,,,
Rome Odunze,,0,WR,WR3,5100,CHI,vs SEA,28,19,6.8,0,9.7,0,0,0,0,0,0,0,0,0,6.76,0.2012,6.76,3.61,46.11,0.24,0,0,0,0,0,0,9.66,9.66,0,0,23.26,9.66,9.66,35,27,54,54,0,100,,71,36,133,133,30,1.9,2.5,0.5,,,,,,,,0.2,1,,6.33,3.4,46.73,0.2,,,,,,,
Jalen Coker,,0,WR,WR3,4300,CAR,@ TB,30,19.5,7.4,0,8.5,0,0,0,0,0,0,0,0,0,5.39,0.1488,5.39,3.23,48.7,0.26,0,0,0,0,0,0,9.66,9.66,0,0,24.46,9.66,9.66,40,35,54,54,0,100,,90,44,133,133,13,2.2,0,,,,,,,,,,,,4.11,2.56,42.33,0.22,,,,,,,
Brandin Cooks,,0,WR,WR1,4600,DAL,@ PHI,26,15.25,9,11,7.1,0,0,0,0,0,0,0,0,0,5.54,0.1686,5.54,3.49,45.19,0.27,0,0,0,0,0,0,9.63,9.63,0,0,27.63,9.63,9.63,40,32,55,55,0,100,,90,41,134,134,35,2.1,0,,,,,,,,,0.35,1.86,0.01,7.01,4.49,61.7,0.39,,,,,,,
Noah Fant,,0,TE,TE1,3600,SEA,@ CHI,6,23,5.4,5.2,6.5,0,0,0,0,0,0,0,0,0,5.97,0.1526,5.97,4.23,43.77,0.16,0,0,0,0,0,0,9.57,9.57,0,1.47,20.37,9.57,9.57,6,16,19,19,0,100,,41,51,135,135,32,2.7,8.3,2.3,,,,,,,,0.03,-0.13,,4.58,3.27,35.94,0.16,,,,,,,
Alec Pierce,,0,WR,WR3,4700,IND,@ NYG,24,24,6.6,5.8,9.3,0,0,0,0,0,0,0,0,0,5.92,0.1571,5.92,2.88,47.98,0.3,0,0,0,0,0,0,9.48,9.48,0,0,22.68,9.48,9.48,40,31,56,56,0,100,,90,40,136,136,8,2,0,,,,,,,,,,,,4.23,2.17,37.28,0.19,,,,,,,
Jalen Tolbert,!,0,WR,WR2,4100,DAL,@ PHI,26,15.25,5.1,4.3,8.4,0,0,0,0,0,0,0,0,0,5.53,0.1681,5.53,3.22,35.64,0.45,0,0,0,0,0,0,9.48,9.48,0,1.83,19.68,9.48,9.48,40,37,56,56,0,100,,90,46,136,136,16,2.3,0,,,,,,,,,,,,3.48,2.13,24.58,0.26,,,,,,,
Ameer Abdullah,,0,RB,RB2,5100,LV,@ NO,19,19.75,5.2,2.6,7.8,0,0,0,0,0,0.2418,6,23.9,0.12,9.87,0.0936,3.87,3,20.73,0.18,0,0,0,0,0,0,9.26,9.26,0,1.46,19.66,9.26,9.26,27,28,33,33,0,100,,90,36,137,137,0,1.8,0,,,,,,,,,3.65,14.53,0.06,2.05,1.55,11.1,0.08,,,,,,,
Marquez Valdes-Scantling,!,0,WR,WR1,4200,NO,vs LV,19,17.75,7.2,3.6,7.4,0,0,0,0,0,0,0,0,0,5.77,0.1929,5.77,2.89,48.02,0.25,0,0,0,0,0,0,9.19,9.19,0,0,23.59,9.19,9.19,40,36,57,57,0,100,,90,45,138,138,0,2.2,0,,,,,,,,,0.1,0.51,,4.01,2.01,35.06,0.2,,,,,,,
Romeo Doubs,,0,WR,WR2,5100,GB,@ MIN,21,24,6,10.3,9.8,0,0,0,0,0,0,0,0,0,5.17,0.1842,5.17,3.25,38.86,0.34,0,0,0,0,0,0,9.18,9.18,0,0.18,21.18,9.18,9.18,40,27,58,58,0,100,,90,36,139,139,36,1.8,0,,,,,,,,,0.02,0.26,,5.33,3.33,39.1,0.36,,,,,,,
Michael Carter,,0,RB,RB2,4100,ARI,@ LAR,7,20.75,6.4,3.9,9.8,0,0,0,0,0,0.19,4.87,20.32,0.11,9.83,0.1514,4.96,3.71,25.53,0.03,0,0,0,0,0,0,9.14,9.14,0,0,21.94,9.14,9.14,7,38,34,34,0,100,,34,46,140,140,17,2.2,10.1,2.5,,,,,,,,6.43,27.09,0.15,3.15,2.3,16.17,0.02,,,,,,,
Isaac Guerendo,,0,RB,RB1,6500,SF,vs DET,10,23.5,8.2,0,5.8,0,0,0,0,0,0.3319,10.3,51.85,0.65,10.3,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,25.49,9.09,9.09,27,14,35,35,0,100,,90,22,141,141,0,1.4,0,,,,,,,,,5.21,27.21,0.29,0.86,0.79,6.21,,,,,,,,
Calvin Austin III,,0,WR,WR3,4200,PIT,vs KC,16,22.25,5.5,3.3,7.2,0,0,0,0,0,0,0,0,0,4.45,0.1339,4.45,2.78,40.78,0.36,0,0,0,0,0,0,9.02,9.02,0,0.77,20.02,9.02,9.02,20,36,59,59,0,100,,48,45,142,142,0,2.1,7.1,1.7,,,,,,,,0.35,1.84,0.03,2.65,1.58,22.48,0.16,,,,,,,
Chigoziem Okonkwo,,0,TE,TE1,3600,TEN,@ JAC,15,19,4.6,6.7,6.9,0,0,0,0,0,0,0,0,0,5.75,0.1735,5.75,4.15,40.3,0.14,0,0,0,0,0,0,9.02,9.02,0,2.12,18.22,9.02,9.02,19,16,20,20,0,100,,90,51,142,142,30,2.5,0,,,,,,,,,0.11,0.17,,3.96,2.83,30.11,0.13,,,,,,,
Tre Tucker,,0,WR,WR2,3800,LV,@ NO,23,19.75,6,5.5,7.5,0,0,0,0,0,0,0,0,0,5.77,0.1395,5.77,3.46,43.83,0.19,0,0,0,0,0,0,8.98,8.98,0,0,20.98,8.98,8.98,40,40,60,60,0,100,,90,49,143,143,9,2.4,0,,,,,,,,,0.64,4.14,0.04,3.68,2.18,29.36,0.14,,,,,,,
Cowboys,,0,DST,DST1,2500,DAL,@ PHI,6,22.75,6.8,10.5,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41,0.96,0.75,0,0.32,22.75,8.75,8.75,0,0,22.35,8.75,8.75,10,12,1,1,0,100,,90,62,144,144,7,3.5,0,,,,,,,,,,,,,,,,2.47,0.77,0.61,0.19,0.01,21.72,344.25
Michael Wilson,,0,WR,WR2,4200,ARI,@ LAR,18,20.75,5.8,8.8,7.9,0,0,0,0,0,0,0,0,0,4.63,0.1415,4.63,3.02,40.27,0.28,0,0,0,0,0,0,8.73,8.73,0,0.03,20.33,8.73,8.73,21,36,61,61,0,100,,49,45,145,145,30,2.1,6.9,1.6,,,,,,,,,,,4.39,2.89,38.96,0.25,,,,,,,
Keon Coleman,,0,WR,WR3,4500,BUF,vs NYJ,25,27.75,5.6,0,8.8,0,0,0,0,0,0,0,0,0,3.83,0.1144,3.83,2.23,48.58,0.27,0,0,0,0,0,0,8.71,8.71,0,0.31,19.91,8.71,8.71,40,33,62,62,0,100,,90,42,146,146,36,1.9,0,,,,,,,,,,,,3.64,2.18,45.27,0.27,,,,,,,
Tank Bigsby,,0,RB,RB2,5200,JAC,vs TEN,30,20,7.4,1.9,9.3,0,0,0,0,0,0.4524,12.77,54.63,0.54,12.77,0,0,0,0,0,0,0,0,0,0,0,8.7,8.7,0,0,23.5,8.7,8.7,27,27,36,36,0,100,,90,35,147,147,0,1.7,0,,,,,,,,,7.42,31.77,0.31,0.54,0.27,2.19,,,,,,,,
Hollywood Brown,,0,WR,WR3,4500,KC,@ PIT,27,23.75,,,,0,0,0,0,0,0,0,0,0,5.14,0.1338,5.14,3.09,40.19,0.26,0,0,0,0,0,0,8.67,8.67,0,0,,8.67,8.67,15,33,63,63,0,100,,40,42,148,148,0,1.9,8.6,1.9,,,,,,,,,,,,,,,,,,,,,
Darius Slayton,,0,WR,WR3,3300,NYG,vs IND,14,16.5,7.7,9.1,7.6,0,0,0,0,0,0,0,0,0,5.46,0.1509,5.46,3,43.99,0.21,0,0,0,0,0,0,8.66,8.66,0,0,24.06,8.66,8.66,40,45,64,64,0,100,,90,54,149,149,14,2.6,0,,,,,,,,,0.06,0.03,,5.23,2.97,44.43,0.23,,,,,,,
Jamison Crowder,,0,WR,WR3,3500,WAS,vs ATL,2,25,8,2.3,7.6,0,0,0,0,0,0,0,0,0,4.9,0.1389,4.9,3.29,35.16,0.3,0,0,0,0,0,0,8.61,8.61,0,0,24.61,8.61,8.61,40,43,65,65,0,100,,90,52,150,150,18,2.5,0,,0.03,0.01,0.36,,0.01,0.01,1.98,0.14,0.68,,5.48,3.67,40.74,0.26,,,,,,,
Brenton Strange,,0,TE,TE1,4000,JAC,vs TEN,31,20,5.1,2.4,6.8,0,0,0,0,0,0,0,0,0,5.35,0.1614,5.35,4.03,35.48,0.16,0,0,0,0,0,0,8.54,8.54,0,0.89,18.74,8.54,8.54,19,12,21,21,0,100,,90,47,151,151,6,2.1,0,,,,,,,,,,,,3.17,2.28,21.44,0.17,,,,,,,
Christian Watson,!,0,WR,WR3,4900,GB,@ MIN,21,24,8.6,11.3,8.6,0,0,0,0,0,0,0,0,0,4.52,0.161,4.52,2.5,46.63,0.22,0,0,0,0,0,0,8.48,8.48,0,0,25.68,8.48,8.48,40,29,66,66,0,100,,90,38,152,152,20,1.7,0,,,,,,,,,0.42,3.17,0.06,4.72,2.72,45.92,0.39,,,,,,,
Kendre Miller,,0,RB,RB1,5500,NO,vs LV,13,17.75,4.2,6.2,5.2,0,0,0,0,0,0.5955,14.93,58.24,0.42,14.93,0,0,0,0,0,0,0,0,0,0,0,8.34,8.34,0,2.04,16.74,8.34,8.34,27,24,37,37,0,100,,90,32,153,153,28,1.5,0,,,,,,,,,6.42,25.08,0.17,1.5,1.17,11.17,,,,,,,,
Raheem Mostert,,0,RB,RB2,4700,MIA,@ CLE,32,18.25,9.9,18.3,6.3,0,0,0,0,0,0.2836,7.23,34.31,0.31,9.18,0.0597,1.95,1.53,10.65,0.06,0,0,0,0,0,0,8.25,8.25,0,0,28.05,8.25,8.25,27,32,38,38,0,100,,90,40,154,154,12,1.8,0,,,,,,,,,10.08,51.55,0.49,1.83,1.4,11.14,0.1,,,,,,,
Seahawks,,0,DST,DST1,3000,SEA,@ CHI,30,19,5.3,6.4,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,1.05,0.46,0,0.35,19,8.22,8.22,0,0.27,18.82,8.22,8.22,2,7,2,2,0,100,,21,57,155,155,27,2.7,16,5.3,,,,,,,,,,,,,,,2.46,0.76,0.58,0.16,0.05,21.42,353.65
Colts,,0,DST,DST1,3500,IND,@ NYG,32,16.5,5.6,8.2,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,1.36,0.49,0,0.12,16.5,8.15,8.15,0,0,19.35,8.15,8.15,10,2,3,3,0,100,,90,52,156,156,21,2.3,0,,,,,,,,,,,,,,,,2.31,0.88,0.6,0.18,0.06,23.23,357.32
Rams,,0,DST,DST1,3200,LAR,vs ARI,14,20.75,6,5.1,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,0.89,0.5,0.1,0.3,20.75,8.07,8.07,0,0,20.07,8.07,8.07,3,5,4,4,0,100,,26,55,157,157,19,2.5,14,4.4,,,,,,,,,,,,,,,2.63,0.88,0.48,0.16,0.06,21.64,340.44
Eagles,,0,DST,DST1,3100,PHI,vs DAL,20,15.25,6.1,6.1,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0.84,1.16,0,0,15.25,8.05,8.05,0,0,20.25,8.05,8.05,10,6,5,5,0,100,,90,56,158,158,20,2.6,0,,,,,,,,,,,,,,,,2.61,0.78,0.58,0.21,0.02,21.83,342.47
Noah Gray,,0,TE,TE2,3300,KC,@ PIT,27,23.75,4.2,4.4,7.9,0,0,0,0,0,0,0,0,0,3.68,0.096,3.68,2.83,31.03,0.35,0,0,0,0,0,0,8.03,8.03,0,1.73,16.43,8.03,8.03,14,19,22,22,0,100,,78,54,159,159,16,2.4,1.6,0.5,,,,,,,,0.04,0.04,0.02,2.44,1.87,19.81,0.17,,,,,,,
Xavier Legette,!,0,WR,WR2,4400,CAR,@ TB,30,19.5,4.9,0,8.6,0,0,0,0,0,0,0,0,0,5.93,0.1639,5.93,3.37,32.69,0.23,0,0,0,0,0,0,8.02,8.02,0,0.67,17.82,8.02,8.02,40,34,67,67,0,100,,90,43,160,160,43,1.8,0,,,,,,,,,0.46,1.85,,5.38,3.15,33.77,0.31,,,,,,,
Bills,,0,DST,DST1,3600,BUF,vs NYJ,22,17.75,6,9.5,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,0.85,1.06,0,0.21,17.75,7.99,7.99,0,0,19.99,7.99,7.99,10,1,6,6,0,100,,90,51,161,161,21,2.2,0,,,,,,,,,,,,,,,,2.35,0.98,0.6,0.14,0.03,20.31,328.42
Tyler Boyd,!,0,WR,WR3,3500,TEN,@ JAC,15,19,7.7,8.8,5.4,0,0,0,0,0,0,0,0,0,4.98,0.1502,4.98,3.42,36.57,0.14,0,0,0,0,0,0,7.92,7.92,0,0,23.32,7.92,7.92,40,43,68,68,0,100,,90,52,162,162,28,2.3,0,,0.05,0.02,0.63,0.01,0.01,,-0.11,0.15,1.26,,6.01,4.1,47.58,0.23,,,,,,,
Josh Palmer,,0,WR,WR3,4400,LAC,@ NE,22,23.75,6.5,11.4,7.1,0,0,0,0,0,0,0,0,0,4.93,0.1469,4.93,3.07,39.24,0.14,0,0,0,0,0,0,7.83,7.83,0,0,20.83,7.83,7.83,16,34,69,69,0,100,,42,43,163,163,25,1.8,8.1,1.8,,,,,,,,0.05,0.29,,5.02,3.24,40.84,0.18,,,,,,,
Allen Lazard,,0,WR,WR3,4000,NYJ,@ BUF,4,17.75,7,4.6,11.1,0,0,0,0,0,0,0,0,0,4.22,0.126,4.22,2.55,34,0.31,0,0,0,0,0,0,7.81,7.81,0,0,21.81,7.81,7.81,40,38,70,70,0,100,,90,47,164,164,25,2,0,,,,,,,,,0.12,0.99,,4.82,3,39.91,0.34,,,,,,,
Ray-Ray McCloud,,0,WR,WR3,4300,ATL,@ WAS,32,21.5,4.2,2.4,8.5,0,0,0,0,0,0,0,0,0,5.45,0.1663,5.45,3.81,36.27,0.06,0,0,0,0,0,0,7.8,7.8,0,1.5,16.2,7.8,7.8,40,35,71,71,0,100,,90,44,165,165,0,1.8,0,,,,,,,,,0.27,2.86,0.01,2.37,1.63,15.28,0.02,,,,,,,
Foster Moreau,,0,TE,TE2,3000,NO,vs LV,19,17.75,4.2,4.2,6.2,0,0,0,0,0,0,0,0,0,4.14,0.1384,4.14,2.92,32.88,0.26,0,0,0,0,0,0,7.77,7.77,0,1.47,16.17,7.77,7.77,19,22,23,23,0,100,,90,57,166,166,25,2.6,0,,,,,,,,,,0.03,,2.69,1.92,22.93,0.24,,,,,,,
Parker Washington,,0,WR,WR2,4200,JAC,vs TEN,31,20,6.8,5,6,0,0,0,0,0,0,0,0,0,4.95,0.1494,4.95,3.16,35.88,0.16,0,0,0,0,0,0,7.71,7.71,0,0,21.31,7.71,7.71,40,36,72,72,0,100,,90,45,167,167,0,1.8,0,,,,,,,,,,,,3.25,2.15,23.8,0.15,,,,,,,
Marvin Mims Jr.,,0,WR,WR3,3900,DEN,@ CIN,7,23.25,5.9,4.4,5.3,0,0,0,0,0,0,0,0,0,3.91,0.0994,3.91,2.68,37.62,0.21,0,0,0,0,0,0,7.7,7.7,0,0,19.5,7.7,7.7,2,39,73,73,0,100,,4,48,168,168,0,2,33.2,8.5,,,,,,,,0.68,2.35,,2.32,1.55,23.42,0.1,,,,,,,
David Moore,,0,WR,WR4,4100,CAR,@ TB,30,19.5,5.9,3.4,5.7,0,0,0,0,0,0,0,0,0,4.81,0.133,4.81,2.76,32.65,0.26,0,0,0,0,0,0,7.59,7.59,0,0,19.39,7.59,7.59,40,37,74,74,0,100,,90,46,169,169,0,1.9,0,,,,,,,,,0.22,1.49,,3.08,1.77,25.22,0.25,,,,,,,
Mike Gesicki,,0,TE,TE1,3100,CIN,vs DEN,10,26.75,6.8,4.4,8,0,0,0,0,0,0,0,0,0,4.64,0.1196,4.64,3.13,33.13,0.19,0,0,0,0,0,0,7.58,7.58,0,0,21.18,7.58,7.58,3,21,24,24,0,100,,17,56,170,170,7,2.4,18.6,6,0.01,,,,,,0.37,,,,4.44,2.87,31.51,0.21,,,,,,,
Dontayvion Wicks,,0,WR,WR4,3900,GB,@ MIN,21,24,6.5,8.1,6.2,0,0,0,0,0,0,0,0,0,4.74,0.1688,4.74,2.62,29.47,0.32,0,0,0,0,0,0,7.49,7.49,0,0,20.49,7.49,7.49,40,39,75,75,0,100,,90,48,171,171,8,1.9,0,,0.03,0.03,0.47,,,,4.79,0.03,0.03,,4.1,2.3,30.13,0.3,,,,,,,
Dante Pettis,,0,WR,WR3,3000,NO,vs LV,19,17.75,6.5,0,3.1,0,0,0,0,0,0,0,0,0,5.6,0.1871,5.6,2.78,32.51,0.24,0,0,0,0,0,0,7.47,7.47,0,0,20.47,7.47,7.47,40,48,76,76,0,100,,90,57,172,172,0,2.5,0,,0.04,0.04,0.6,,,,5.11,0.06,0.66,,2.85,1.49,20.15,0.23,,,,,,,
Broncos,,0,DST,DST1,2800,DEN,@ CIN,4,26.75,6.1,6.9,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0.88,0.53,0,0.35,26.75,7.47,7.47,0,0,19.67,7.47,7.47,7,9,7,7,0,100,,43,59,172,172,20,2.7,8,2.9,,,,,,,,,,,,,,,2.55,0.8,0.57,0.15,0.03,20.68,332.66
Andrei Iosivas,,0,WR,WR3,3800,CIN,vs DEN,10,26.75,5.5,4.6,7.2,0,0,0,0,0,0,0,0,0,3.81,0.0983,3.81,2.23,26.45,0.43,0,0,0,0,0,0,7.46,7.46,0,0,18.46,7.46,7.46,14,40,77,77,0,100,,39,49,173,173,10,2,8.9,2.3,,,,,,,,,,,3.04,1.77,20.15,0.38,,,,,,,
Ryan Miller,,0,WR,WR3,3000,TB,vs CAR,5,28.5,3,0,4,0,0,0,0,0,0,0,0,0,3.72,0.0863,3.72,2.51,21.98,0.45,0,0,0,0,0,0,7.41,7.41,0,2.91,13.41,7.41,7.41,40,48,78,78,0,100,,90,57,174,174,25,2.5,0,,,,,,,,,,,,2,1.25,12.75,0.25,,,,,,,
Antonio Gibson,,0,RB,RB2,5200,NE,vs LAC,16,17.75,7,8.1,5.8,0,0,0,0,0,0.2611,7.33,31.37,0.2,9.13,0.0528,1.8,1.49,12.41,0.04,0,0,0,0,0,0,7.31,7.31,0,0,21.31,7.31,7.31,10,27,39,39,0,100,,51,35,175,175,36,1.4,6.3,1.2,,,,,,,,9.71,40.46,0.3,3.09,2.51,19.33,0.09,,,,,,,
Kyle Pitts,,0,TE,TE1,3900,ATL,@ WAS,32,21.5,6.2,8.1,7.6,0,0,0,0,0,0,0,0,0,4.87,0.1486,4.87,2.84,36.88,0.13,0,0,0,0,0,0,7.31,7.31,0,0,19.71,7.31,7.31,19,13,25,25,0,100,,90,48,175,175,29,1.9,0,,,,,,,,,0.02,-0.07,,5.49,3.22,43.93,0.15,,,,,,,
Mike Boone,,0,RB,RB2,4000,CAR,@ TB,6,19.5,4.9,1.5,0.7,0,0,0,0,0,0.378,10.53,53.15,0.33,10.53,0,0,0,0,0,0,0,0,0,0,0,7.3,7.3,0,0,17.1,7.3,7.3,27,39,40,40,0,100,,90,47,176,176,0,1.8,0,,,,,,,,,2.52,12.75,0.09,0.8,0.57,4.23,,,,,,,,
Kayshon Boutte,,0,WR,WR2,4000,NE,vs LAC,17,17.75,5.3,1.3,7,0,0,0,0,0,0,0,0,0,4.87,0.1431,4.87,2.64,36.59,0.16,0,0,0,0,0,0,7.26,7.26,0,0,17.86,7.26,7.26,22,38,79,79,0,100,,50,47,177,177,10,1.8,6.8,1.7,,,,,,,,,,,3.94,2.13,28.94,0.13,,,,,,,
Tutu Atwell,,0,WR,WR4,3500,LAR,vs ARI,1,27.25,5.2,7.7,6.4,0,0,0,0,0,0,0,0,0,4.6,0.1201,4.6,2.95,38.88,0.07,0,0,0,0,0,0,7.26,7.26,0,0,17.66,7.26,7.26,40,43,79,79,0,100,,90,52,177,177,9,2.1,0,,0.02,,,,,,0.04,0.34,1.53,0.02,3.34,2,27.79,0.09,,,,,,,
Demarcus Robinson,,0,WR,WR3,3700,LAR,vs ARI,1,27.25,6.2,11.1,7.6,0,0,0,0,0,0,0,0,0,3.85,0.1005,3.85,2.29,27.8,0.35,0,0,0,0,0,0,7.17,7.17,0,0,19.57,7.17,7.17,40,41,80,80,0,100,,90,50,178,178,6,1.9,0,,,,,,,,,0.01,0.21,,3.7,2.31,27.57,0.25,,,,,,,
Jalen Nailor,,0,WR,WR3,3300,MIN,vs GB,12,25,5.1,2,5.9,0,0,0,0,0,0,0,0,0,3.87,0.1105,3.87,2.21,27.52,0.36,0,0,0,0,0,0,7.12,7.12,0,0,17.32,7.12,7.12,40,45,81,81,0,100,,90,54,179,179,7,2.2,0,,,,,,,,,0.14,-0.19,,2.52,1.52,23.24,0.29,,,,,,,
Cole Kmet,,0,TE,TE1,3800,CHI,vs SEA,28,19,6.5,11.5,8.4,0,0,0,0,0,0,0,0,0,3.92,0.1166,3.92,2.96,27.94,0.22,0,0,0,0,0,0,7.07,7.07,0,0,20.07,7.07,7.07,19,14,26,26,0,100,,90,49,180,180,20,1.9,0,,,,,,,,,0.09,0.1,,4.49,3.28,33.19,0.24,,,,,,,
Austin Hooper,,0,TE,TE2,3200,NE,vs LAC,17,17.75,5.9,3,6.5,0,0,0,0,0,0,0,0,0,3.76,0.1105,3.76,2.82,29.74,0.2,0,0,0,0,0,0,6.99,6.99,0,0,18.79,6.99,6.99,8,20,27,27,0,100,,57,55,181,181,20,2.2,4.9,1.5,,,,,,,,,,,4.08,2.99,30.55,0.2,,,,,,,
Texans,,0,DST,DST1,2600,HOU,vs BAL,5,26.75,6.1,7.7,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,1.21,0.61,0,0.17,26.75,6.99,6.99,0,0,19.19,6.99,6.99,9,11,8,8,0,100,,75,61,181,181,6,2.7,2,0.8,,,,,,,,,,,,,,,2.34,0.83,0.54,0.15,0.02,23.26,355.77
Bengals,,0,DST,DST1,3000,CIN,vs DEN,9,23.25,5.2,6.9,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,0.95,0.66,0,0.28,23.25,6.98,6.98,0,0,17.38,6.98,6.98,8,7,9,9,0,100,,64,57,182,182,12,2.3,4,1.3,,,,,,,,,,,,,,,2.15,0.87,0.41,0.12,0.02,22.76,369.72
Steelers,,0,DST,DST1,2800,PIT,vs KC,16,23.75,5.9,8.4,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,0.85,1.03,0,0.19,23.75,6.96,6.96,0,0,18.76,6.96,6.96,11,9,10,10,0,100,,94,59,183,183,27,2.5,-1,,,,,,,,,,,,,,,,2.91,0.95,0.63,0.13,0.04,20.21,334
Ja'Tavion Sanders,,0,TE,TE2,2800,CAR,@ TB,30,19.5,4.5,0,5,0,0,0,0,0,0,0,0,0,3.95,0.1091,3.95,3.07,31.27,0.09,0,0,0,0,0,0,6.74,6.74,0,0,15.74,6.74,6.74,19,24,28,28,0,100,,90,59,184,184,10,2.4,0,,,,,,,,,,,,2.85,2.23,23.23,0.08,,,,,,,
Ravens,,0,DST,DST1,3200,BAL,@ HOU,18,20.25,6.4,10.3,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0.65,0.32,0,0.11,20.25,6.63,6.63,0,0,19.43,6.63,6.63,1,5,11,11,0,100,,18,55,185,185,19,2.1,17,5.3,,,,,,,,,,,,,,,2.55,0.8,0.53,0.2,0.02,19.7,327.77
Troy Franklin,,0,WR,WR4,3400,DEN,@ CIN,7,23.25,3.3,0,4.5,0,0,0,0,0,0,0,0,0,5.16,0.1314,5.16,2.69,26.5,0.2,0,0,0,0,0,0,6.54,6.54,0,1.59,13.14,6.54,6.54,39,44,82,82,0,100,,83,53,186,186,27,1.9,0.9,0.3,,,,,,,,0.14,0.57,,3.43,1.79,18,0.14,,,,,,,
Titans,,0,DST,DST1,2800,TEN,@ JAC,28,20,5.2,5.8,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,1.11,0.44,0.11,0,20,6.53,6.53,0,0,16.93,6.53,6.53,10,9,12,12,0,100,,90,59,187,187,13,2.3,0,,,,,,,,,,,,,,,,2.31,0.75,0.43,0.11,0.02,22.34,351.18
Velus Jones,,0,WR,WR3,4000,CAR,@ TB,30,19.5,3.3,0.9,1.9,0,0,0,0,0,0,0,0,0,4.91,0.1357,4.91,2.68,26.67,0.17,0,0,0,0,0,0,6.37,6.37,0,1.42,12.97,6.37,6.37,40,38,83,83,0,100,,90,47,188,188,0,1.6,0,,,,,,,,,0.79,6.88,0.04,0.92,0.5,5.63,0.04,,,,,,,
John Metchie III,,0,WR,WR2,4000,HOU,vs BAL,3,20.25,3.6,2.3,5.1,0,0,0,0,0,0,0,0,0,4.48,0.1212,4.48,2.8,28.73,0.11,0,0,0,0,0,0,6.33,6.33,0,0.93,13.53,6.33,6.33,13,38,84,84,0,100,,36,47,189,189,0,1.6,9.8,2.5,,,,,,,,0.05,0.18,,2.5,1.5,15.45,0.05,,,,,,,
