player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Bradley Roby,8666,CB,NO,1,0,0,75.0,0,0,20,51.6,52.7,77.7,,57.8,63.9,0,0,0,18,14.3,1,1,0,101.0,6,0,6,66,39,75,0,0,0,0,0,0,75,0,36,3,1,6,8,0,0,70,10,11.7
Demarcus Lawrence,8669,ED,DAL,1,2,0,,0,0,9,60.1,69.2,78.8,52.7,78.1,73.1,0,0,0,,0.0,0,0,0,0.0,0,0,1,0,2,37,36,0,0,30,6,0,1,21,14,0,1,2,0,0,0,0,0,
Kyle Van Noy,8675,LB,LAC,1,1,0,100.0,0,0,27,50.8,60.2,74.1,61.8,72.6,76.8,0,0,0,18,0.0,0,0,0,158.3,1,0,20,1,16,28,7,0,0,7,0,0,21,7,5,0,1,2,1,0,1,18,2,18.0
Lamarcus Joyner,8676,S,NYJ,1,0,0,100.0,0,0,22,29.6,29.0,76.1,,62.4,75.2,0,0,0,55,0.0,0,0,1,158.3,1,0,14,0,35,56,0,0,0,0,0,33,56,0,21,9,0,1,1,0,1,55,5,55.0
Christian Kirksey,8706,LB,HST,1,6,0,100.0,0,0,13,58.2,59.4,79.0,61.1,60.1,82.2,1,1,0,12,0.0,0,0,0,94.4,3,0,87,0,49,92,0,0,0,0,0,1,92,7,36,4,2,3,3,2,0,20,14,6.7
Justin Ellis,8742,DI,NYG,1,0,0,,0,0,21,,37.4,74.8,54.7,40.8,67.3,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,18,18,7,11,0,0,0,0,9,9,0,1,1,0,0,0,0,0,
DaQuan Jones,8747,DI,BUF,1,1,0,,0,0,4,,68.9,77.0,76.3,50.1,70.3,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,46,46,0,32,0,14,0,0,34,12,0,2,2,0,2,0,0,0,
Kevin Pierre-Louis,8767,LB,HST,1,0,0,0.0,0,0,13,90.6,77.4,69.8,,47.8,69.9,0,0,0,,0.0,0,1,0,39.6,0,0,16,0,9,22,2,0,0,2,0,0,20,0,13,4,0,1,3,0,0,0,0,
Brent Urban,8769,DI,BLT,1,0,0,,0,0,3,59.9,59.2,75.3,60.6,57.3,,0,1,0,,,0,0,0,0.0,0,0,0,0,2,25,25,0,18,2,5,0,0,20,3,0,0,0,0,1,0,0,0,
Devon Kennard,8809,ED,ARZ,1,0,0,,0,0,1,77.3,62.6,76.7,50.1,61.5,69.9,1,1,0,,0.0,0,0,0,0.0,0,0,1,0,2,35,34,0,1,32,1,0,1,20,13,0,1,1,0,2,0,0,0,
Shelby Harris,8869,DI,SEA,1,1,0,,0,0,29,,54.4,76.6,53.1,58.9,32.9,1,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,45,45,0,28,2,15,0,0,35,10,0,1,2,0,1,0,0,0,
Denico Autry,8982,ED,TEN,1,2,0,,0,0,31,61.2,33.4,0.0,47.4,43.3,48.2,1,2,0,,28.6,2,0,1,0.0,0,0,0,0,2,38,37,1,4,24,8,0,1,19,17,0,1,3,0,3,0,0,0,
Shaquil Barrett,9000,ED,TB,1,0,0,,0,0,30,62.8,72.5,3.0,73.1,70.0,72.8,1,3,0,,0.0,0,0,1,0.0,0,0,0,0,4,49,48,0,0,48,0,0,1,32,13,1,1,1,0,4,0,0,0,
Kerry Hyder,9045,ED,SF,1,0,0,,0,0,28,,53.5,75.9,54.4,56.5,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,15,15,0,0,13,2,0,0,4,11,0,0,0,0,0,0,0,0,
Adrian Phillips,9177,S,NE,1,1,0,66.7,0,0,19,66.9,75.5,71.3,,77.8,79.5,0,0,0,12,0.0,0,0,0,84.0,2,0,15,2,17,27,1,0,0,1,0,4,26,0,10,5,3,3,3,0,0,19,0,9.5
