,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Actual Data,,Position Rankings,,,,Overall Rankings,,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Devonta Freeman,,0,RB,5700,BAL,@ CLE,22,20.50,9.8,7.2,9.8,0,0,0,0,0,0.261,7.48,30.74,0.26,9.79,0.079,2.31,1.83,13.62,0.08,0,0,0,0,0,0,8.31,8.31,0,0,27.91,8.31,8.31,0,100,,35,1.5,12.20,2.1,22,19,31,31,82,29,126,126,,,,,,,,13.12,53.92,0.45,4.14,3.28,25.45,0.15,,,,,,,
Kenny Golladay,,0,WR,4800,NYG,@ LAC,15,17.25,8.4,14.4,7.8,0,0,0,0,0,0,0,0,0,4.97,0.1486,4.97,2.78,41.29,0.23,0,0,0,0,0,0,8.29,8.29,0,0,25.09,8.29,8.29,0,100,,28,1.7,3.50,0.7,69,32,55,55,146,38,127,127,,,,,,,,0.03,0.26,,6.18,3.46,57.23,0.32,,,,,,,
Titans,,0,DST,3700,TEN,vs JAC,30,18.25,5.4,4.4,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81,0.87,0.49,0,0.29,18.25,8.27,8.27,0,0.17,19.07,8.27,8.27,0,100,,16,2.2,21.00,5.7,3,3,3,3,33,49,128,128,,,,,,,,,,,,,,,2.39,0.8,0.46,0.14,0.01,22.34,360.28
Adam Humphries,,0,WR,3500,WAS,vs DAL,23,21.00,5.6,8.3,5,0,0,0,0,0,0,0,0,0,5.16,0.1599,5.16,3.64,36.8,0.15,0,0,0,0,0,0,8.22,8.22,0,0,19.42,8.22,8.22,0,100,,29,2.3,7.40,2.1,53,45,56,56,116,51,129,129,,,,,0.01,,,0.1,0.38,,4.83,3.41,35.37,0.14,,,,,,,
Rob Gronkowski,,0,TE,6000,TB,vs BUF,3,27.75,9.6,8.3,16.5,0,0,0,0,0,0,0,0,0,4.11,0.1062,4.11,2.54,37.91,0.31,0,0,0,0,0,0,8.19,8.19,0,0,27.39,8.19,8.19,0,100,,32,1.4,11.20,1.9,7,4,16,16,88,26,130,130,,,,,,,,,,,6.61,4.09,63.34,0.5,,,,,,,
Geoff Swaim,,0,TE,2800,TEN,vs JAC,12,26.25,3.7,3.5,4.2,0,0,0,0,0,0,0,0,0,4.54,0.1432,4.54,3.6,28.35,0.27,0,0,0,0,0,0,8.06,8.06,0,2.51,15.46,8.06,8.06,0,100,,14,2.9,7.50,2.7,15,24,17,17,115,58,131,131,,,,,,,,,,,2.5,1.98,15.35,0.13,,,,,,,
Olamide Zaccheaus,,0,WR,3800,ATL,@ CAR,20,19.75,5.8,5.6,6.1,0,0,0,0,0,0,0,0,0,3.93,0.1195,3.93,2.51,39.15,0.27,0,0,0,0,0,0,8.05,8.05,0,0,19.65,8.05,8.05,0,100,,9,2.1,0.00,,81,42,57,57,175,48,132,132,,,,,,,,0.06,0.06,,3.23,2.06,31.26,0.19,,,,,,,
Alexander Mattison,,0,RB,7800,MIN,vs PIT,31,23.75,7.5,6.9,8.8,0,0,0,0,0,0.2255,5.93,24.73,0.12,8.7,0.0812,2.77,2.26,17.89,0.12,0,0,0,0,0,0,7.96,7.96,0,0,22.96,7.96,7.96,0,100,,0,1,2.70,0.3,47,4,32,32,153,8,133,133,,,,,,,,7.42,30.94,0.15,1.56,1.27,10.04,0.06,,,,,,,
Packers,,0,DST,3500,GB,vs CHI,26,16,5.2,5.7,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72,1.17,0.68,0,0.09,16,7.96,7.96,0,0.16,18.36,7.96,7.96,0,100,,19,2.3,13.00,3.7,5,5,4,4,76,51,133,133,,,,,,,,,,,,,,,2.52,0.83,0.47,0.08,0.01,22.09,348.73
Devontae Booker,,0,RB,4800,NYG,@ LAC,30,17.25,5.4,5.7,9.2,0,0,0,0,0,0.3445,7.22,29.01,0.15,10.26,0.0909,3.04,2.35,15.91,0.02,0,0,0,0,0,0,7.86,7.86,0,0,18.66,7.86,7.86,0,100,,22,1.6,12.40,2.6,21,28,33,33,81,38,134,134,,,,,,,,6.43,25.84,0.13,2.56,1.98,14.93,0.02,,,,,,,
Allen Robinson,,0,WR,5000,CHI,@ GB,8,16.00,9.2,16.8,7.8,0,0,0,0,0,0,0,0,0,4.81,0.1818,4.81,2.82,37.03,0.22,0,0,0,0,0,0,7.84,7.84,0,0,26.24,7.84,7.84,0,100,,36,1.6,3.40,0.7,70,30,58,58,147,36,135,135,,,,,,,,0.03,0.1,,8.39,4.92,64.1,0.42,,,,,,,
Marquez Valdes-Scantling,,0,WR,4300,GB,vs CHI,11,27.00,7.7,10.8,9,0,0,0,0,0,0,0,0,0,4.75,0.1372,4.75,2.42,39.79,0.24,0,0,0,0,0,0,7.84,7.84,0,0,23.24,7.84,7.84,0,100,,4,1.8,5.00,1.2,60,37,58,58,134,43,135,135,,,,,,,,0.15,0.77,,4.6,2.34,39.95,0.23,,,,,,,
Evan Engram,,0,TE,3500,NYG,@ LAC,26,17.25,6.4,9.1,7.9,0,0,0,0,0,0,0,0,0,5.53,0.1653,5.53,3.42,32.63,0.18,0,0,0,0,0,0,7.76,7.76,0,0,20.56,7.76,7.76,0,100,,36,2.2,1.80,0.5,36,17,18,18,163,51,136,136,,,,,,,,0.22,1.16,0.01,6.45,3.99,42.42,0.23,,,,,,,
Clyde Edwards-Helaire,,0,RB,6100,KC,vs LV,11,28.50,6.2,13.6,12.5,0,0,0,0,0,0.3432,8.24,37.33,0.25,9.73,0.039,1.49,1.08,8.15,0.09,0,0,0,0,0,0,7.67,7.67,0,0,20.07,7.67,7.67,0,100,,54,1.3,19.20,3.1,10,15,34,34,43,25,137,137,,,,,,,,12,54.37,0.37,3.27,2.37,18.53,0.2,,,,,,,
Josh Reynolds,,0,WR,4100,DET,@ DEN,22,15.00,5.9,7.9,7.7,0,0,0,0,0,0,0,0,0,4.79,0.1585,4.79,2.74,36.67,0.2,0,0,0,0,0,0,7.61,7.61,0,0,19.41,7.61,7.61,0,100,,16,1.9,8.20,2,50,39,59,59,111,45,138,138,,,,,,,,0.14,0.88,,4.3,2.46,32.97,0.19,,,,,,,
Rashard Higgins,,0,WR,3300,CLE,vs BAL,30,23.50,5.9,10.1,4.4,0,0,0,0,0,0,0,0,0,4.41,0.1552,4.41,2.66,35.87,0.22,0,0,0,0,0,0,7.57,7.57,0,0,19.37,7.57,7.57,0,100,,2,2.3,0.00,,81,47,60,60,175,53,139,139,,,,,,,,0.01,0.06,,3.46,2.09,29.07,0.17,,,,,,,
Rex Burkhead,!,0,RB,4600,HOU,vs SEA,19,16.00,7.4,10.8,3.6,0,0,0,0,0,0.6385,12,47.33,0.46,12,0,0,0,0,0,0,0,0,0,0,0,7.49,7.49,0,0,22.29,7.49,7.49,0,100,,8,1.6,10.60,2.3,25,30,35,35,92,40,140,140,0.01,,,,,,0.46,5.76,22.72,0.22,2.62,2.02,17.33,0.1,,,,,,,
Freddie Swain,,0,WR,3300,SEA,@ HOU,19,25.00,4.8,3.2,5.2,0,0,0,0,0,0,0,0,0,3.78,0.1209,3.78,2.37,30.45,0.34,0,0,0,0,0,0,7.46,7.46,0,0.26,17.06,7.46,7.46,0,100,,0,2.3,0.30,0.1,80,47,61,61,174,53,141,141,,,,,,,,0.17,1.1,,2.14,1.34,18.28,0.21,,,,,,,
Gerald Everett,,0,TE,3500,SEA,@ HOU,15,25.00,5.3,5.5,7.3,0,0,0,0,0,0,0,0,0,4.74,0.1516,4.74,3.04,31.43,0.21,0,0,0,0,0,0,7.44,7.44,0,0,18.04,7.44,7.44,0,100,,16,2.1,10.80,3.1,9,17,19,19,91,51,142,142,,,,,,,,0.1,0.64,0.01,3.79,2.43,26.65,0.18,,,,,,,
Sammy Watkins,,0,WR,4600,BAL,@ CLE,16,20.50,9.5,8.9,7.9,0,0,0,0,0,0,0,0,0,4,0.137,4,2.45,35.03,0.24,0,0,0,0,0,0,7.39,7.39,0,0,26.39,7.39,7.39,0,100,,16,1.6,0.00,,81,34,62,62,175,40,143,143,0.01,,,0.01,0.01,,,0.13,0.91,,5.82,3.57,53.13,0.33,,,,,,,
Matt Breida,,0,RB,5300,BUF,@ TB,9,24.75,7.2,4.3,8.5,0,0,0,0,0,0.41,9.35,45.15,0.14,10.52,0.0341,1.17,0.89,7.42,0.06,0,0,0,0,0,0,7.35,7.35,0,0,21.75,7.35,7.35,0,100,,3,1.4,1.20,0.2,54,23,36,36,169,33,144,144,,,,,,,,7.46,36.02,0.11,1.68,1.28,11.22,0.09,,,,,,,
Saints,,0,DST,3600,NO,@ NYJ,17,19,6.1,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,1.23,0.26,0,0.18,19,7.34,7.34,0,0,19.54,7.34,7.34,0,100,,10,2,7.00,1.9,9,4,5,5,119,50,145,145,,,,,,,,,,,,,,,2.5,0.84,0.57,0.12,0.02,22.87,352.82
Chargers,,0,DST,4300,LAC,vs NYG,28,17.25,5.6,4.7,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0.88,0.68,0,0.09,17.25,7.29,7.29,0,0,18.49,7.29,7.29,0,100,,8,1.7,6.00,1.4,10,1,6,6,124,43,146,146,,,,,,,,,,,,,,,2.16,0.84,0.47,0.16,0.02,23.31,347.6
Chiefs,,0,DST,3300,KC,vs LV,16,19.5,7,6.6,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,1.1,0.55,0,0.19,19.5,7.28,7.28,0,0,21.28,7.28,7.28,0,100,,15,2.2,24.00,7.3,1,7,7,7,21,53,147,147,,,,,,,,,,,,,,,2.33,1.01,0.59,0.28,0.02,21.32,366.56
Broncos,,0,DST,3800,DEN,vs DET,31,15,6.2,4.8,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,1.13,0.31,0,0.1,15,7.24,7.24,0,0,19.64,7.24,7.24,0,100,,18,1.9,10.00,2.6,6,2,8,8,97,48,148,148,,,,,,,,,,,,,,,2.52,0.76,0.55,0.15,0.02,20.34,329.06
Donovan Peoples-Jones,,0,WR,3900,CLE,vs BAL,30,23.50,6.9,4.5,9,0,0,0,0,0,0,0,0,0,3.89,0.1371,3.89,2.29,38.47,0.18,0,0,0,0,0,0,7.22,7.22,0,0,21.02,7.22,7.22,0,100,,12,1.9,14.00,3.6,31,41,63,63,72,47,149,149,,,,,,,,,,,4.04,2.38,41.27,0.19,,,,,,,
Laquon Treadwell,,0,WR,3400,JAC,@ TEN,29,18.25,4,5.7,3.5,0,0,0,0,0,0,0,0,0,4.94,0.1374,4.94,3.1,33.51,0.12,0,0,0,0,0,0,7.17,7.17,0,1.17,15.17,7.17,7.17,0,100,,11,2.1,10.80,3.2,41,46,64,64,91,52,150,150,,,,,,,,,,,2.96,1.86,21.14,0.09,,,,,,,
DeAndre Carter,,0,WR,3400,WAS,vs DAL,23,21.00,4.5,0.4,6.2,0,0,0,0,0,0,0,0,0,4.13,0.1282,4.13,2.89,33.71,0.15,0,0,0,0,0,0,7.16,7.16,0,0.41,16.16,7.16,7.16,0,100,,18,2.1,3.20,0.9,71,46,65,65,149,52,151,151,,,,,,,,0.36,2.61,,2.94,2.06,24.64,0.11,,,,,,,
Buccaneers,,0,DST,3200,TB,vs BUF,10,24.75,6.1,7.4,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,1.09,0.77,0,0.16,24.75,7.16,7.16,0,0,19.36,7.16,7.16,0,100,,15,2.2,5.00,1.6,11,8,9,9,134,54,151,151,,,,,,,,,,,,,,,2.48,0.88,0.75,0.18,0.02,23.91,357.31
Chester Rogers,,0,WR,3400,TEN,vs JAC,13,26.25,5.1,0,4.5,0,0,0,0,0,0,0,0,0,4.54,0.1432,4.54,3.03,32.58,0.14,0,0,0,0,0,0,7.13,7.13,0,0,17.33,7.13,7.13,0,100,,9,2.1,2.30,0.7,75,46,66,66,157,52,152,152,,,,,,,,0.1,0.49,,3.6,2.4,25.41,0.1,,,,,,,
Panthers,,0,DST,2800,CAR,vs ATL,29,19.75,6.3,6.1,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,0.72,0.54,0.09,0.09,19.75,7.11,7.11,0,0,19.71,7.11,7.11,0,100,,14,2.5,1.00,0.4,13,12,10,10,171,58,153,153,,,,,,,,,,,,,,,2.59,0.87,0.64,0.17,0.03,23.3,350.14
Denzel Mims,,0,WR,3000,NYJ,vs NO,24,19.00,3.7,6.7,3.6,0,0,0,0,0,0,0,0,0,5.18,0.1486,5.18,2.36,35.32,0.2,0,0,0,0,0,0,7.09,7.09,0,1.54,14.49,7.09,7.09,0,100,,14,2.4,0.00,,81,50,67,67,175,56,154,154,,,,,,,,,,,3.58,1.63,25.79,,,,,,,,
Michael Gallup,,0,WR,5500,DAL,@ WAS,28,27.00,8,11.2,11.5,0,0,0,0,0,0,0,0,0,4.24,0.0935,4.24,2.35,34.8,0.2,0,0,0,0,0,0,7.03,7.03,0,0,23.03,7.03,7.03,0,100,,29,1.3,11.00,2,40,25,68,68,90,31,155,155,,,,,,,,,,,6.42,3.56,53.74,0.3,,,,,,,
Darius Slayton,,0,WR,4400,NYG,@ LAC,15,17.25,8.8,9.3,5.9,0,0,0,0,0,0,0,0,0,4.66,0.1393,4.66,2.43,32.1,0.23,0,0,0,0,0,0,7.02,7.02,0,0,24.62,7.02,7.02,0,100,,2,1.6,0.00,,81,36,69,69,175,42,156,156,,,,,,,,0.07,-0.32,,5.45,2.84,41.84,0.3,,,,,,,
Cole Kmet,,0,TE,3600,CHI,@ GB,11,16.00,4.4,4.5,6.7,0,0,0,0,0,0,0,0,0,5.24,0.1981,5.24,3.37,32.83,0.06,0,0,0,0,0,0,7.01,7.01,0,0.41,15.81,7.01,7.01,0,100,,23,1.9,4.70,1.3,24,16,20,20,137,50,157,157,,,,,,,,0.06,-0.09,,4.26,2.74,26.49,0.06,,,,,,,
Tim Patrick,,0,WR,4800,DEN,vs DET,7,27.00,6.2,11.3,10,0,0,0,0,0,0,0,0,0,4.01,0.1154,4.01,2.43,33.73,0.19,0,0,0,0,0,0,6.94,6.94,0,0,19.34,6.94,6.94,0,100,,30,1.4,4.10,0.9,65,32,70,70,141,38,158,158,,,,,,,,0.06,0.35,,4.92,2.98,41.85,0.25,,,,,,,
Anthony Firkser,,0,TE,2700,TEN,vs JAC,12,26.25,4.8,5.8,3.5,0,0,0,0,0,0,0,0,0,3.67,0.1157,3.67,2.74,30.21,0.19,0,0,0,0,0,0,6.9,6.9,0,0,16.5,6.9,6.9,0,100,,8,2.6,7.40,2.7,16,25,21,21,116,59,159,159,,,,,,,,,,,2.8,2.09,22.67,0.13,,,,,,,
Keelan Cole,,0,WR,3100,NYJ,vs NO,24,19.00,6.6,9.5,5.4,0,0,0,0,0,0,0,0,0,4.4,0.1262,4.4,2.5,34.51,0.14,0,0,0,0,0,0,6.79,6.79,0,0,19.99,6.79,6.79,0,100,,11,2.2,3.70,1.2,68,49,71,71,145,55,160,160,0.01,,,,,,0.53,0.03,0.11,,4.48,2.55,37.13,0.17,,,,,,,
Kenny Stills,,0,WR,3000,NO,@ NYJ,25,23.00,7.3,4.5,2.9,0,0,0,0,0,0,0,0,0,4.01,0.121,4.01,2.19,33.23,0.21,0,0,0,0,0,0,6.77,6.77,0,0,21.37,6.77,6.77,0,100,,15,2.3,0.00,,81,50,72,72,175,56,161,161,0.01,0.01,0.03,,0.01,0.01,4.69,0.01,0.01,,4.63,2.53,38.55,0.34,,,,,,,
Pharaoh Brown,,0,TE,3000,HOU,vs SEA,29,16.00,3.5,4.7,3.5,0,0,0,0,0,0,0,0,0,4.29,0.1495,4.29,3.14,27.13,0.14,0,0,0,0,0,0,6.69,6.69,0,1.44,13.69,6.69,6.69,0,100,,10,2.2,0.00,,40,22,22,22,175,56,162,162,,,,,,,,,,,2.42,1.77,16.65,0.08,,,,,,,
Cardinals,,0,DST,3000,ARI,vs LAR,6,24,6.4,6.5,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0.95,0.87,0,0.08,24,6.64,6.64,0,0,19.44,6.64,6.64,0,100,,7,2.2,2.00,0.7,12,10,11,11,161,56,163,163,,,,,,,,,,,,,,,2.52,0.75,0.66,0.15,0.04,23.03,349.44
Donald Parham,,0,TE,2800,LAC,vs NYG,1,26.25,4.5,4.4,5.6,0,0,0,0,0,0,0,0,0,3.22,0.0811,3.22,2.05,22.48,0.38,0,0,0,0,0,0,6.58,6.58,0,0,15.58,6.58,6.58,0,100,,4,2.4,3.30,1.2,28,24,23,23,148,58,164,164,,,,,,,,,,,2.14,1.36,15.86,0.27,,,,,,,
Cameron Brate,,0,TE,2700,TB,vs BUF,3,27.75,5.3,6.3,4.6,0,0,0,0,0,0,0,0,0,3.64,0.0942,3.64,2.39,24.37,0.29,0,0,0,0,0,0,6.57,6.57,0,0,17.17,6.57,6.57,0,100,,25,2.4,3.10,1.1,29,25,24,24,150,59,165,165,,,,,,,,,,,3.86,2.53,26.85,0.31,,,,,,,
Byron Pringle,,0,WR,3200,KC,vs LV,10,28.50,6.5,5.5,6.9,0,0,0,0,0,0,0,0,0,3.13,0.082,3.13,2.22,26.19,0.25,0,0,0,0,0,0,6.34,6.34,0,0,19.34,6.34,6.34,0,100,,12,2,3.80,1.2,67,48,73,73,144,54,166,166,,,,,,,,,,,3.56,2.53,30.85,0.29,,,,,,,
Sterling Shepard,,0,WR,4600,NYG,@ LAC,15,17.25,7.7,13.8,14.5,0,0,0,0,0,0,0,0,0,4.15,0.124,4.15,2.73,27.44,0.14,0,0,0,0,0,0,6.31,6.31,0,0,21.71,6.31,6.31,0,100,,39,1.4,4.70,1,62,34,74,74,137,40,167,167,,,,,,,,0.3,2.37,0.01,7.32,4.82,53.96,0.29,,,,,,,
Seahawks,,0,DST,3100,SEA,@ HOU,32,16,4.9,6.2,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.7,0.6,0.1,0.1,16,6.3,6.3,0,0,16.1,6.3,6.3,0,100,,34,2,6.00,1.9,10,9,12,12,124,55,168,168,,,,,,,,,,,,,,,2.38,0.76,0.62,0.15,0.06,21.13,354.26
Browns,,0,DST,2700,CLE,vs BAL,20,20.5,4.9,6.1,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0.9,0.24,0,0.08,20.5,6.28,6.28,0,0,16.08,6.28,6.28,0,100,,9,2.3,14.00,5.2,4,13,13,13,72,59,169,169,,,,,,,,,,,,,,,2.13,0.76,0.49,0.1,0.03,24.98,365.76
Gabriel Davis,,0,WR,3500,BUF,@ TB,4,24.75,9.9,8,6.7,0,0,0,0,0,0,0,0,0,2.81,0.0822,2.81,1.59,26.4,0.32,0,0,0,0,0,0,6.15,6.15,0,0,25.95,6.15,6.15,0,100,,0,1.8,15.30,4.4,26,45,75,75,63,51,170,170,,,,,,,,0.03,,,4.18,2.36,41.36,0.49,,,,,,,
Foster Moreau,,0,TE,4000,LV,@ KC,28,19.50,4.5,4.1,5.3,0,0,0,0,0,0,0,0,0,2.85,0.0875,2.85,2.03,22.85,0.29,0,0,0,0,0,0,6.06,6.06,0,0,15.06,6.06,6.06,0,100,,26,1.5,4.30,1.1,25,13,25,25,140,46,171,171,,,,,,,,,,,2.73,1.94,23.06,0.3,,,,,,,
Peyton Barber,,0,RB,4000,LV,@ KC,2,19.50,5.9,3.7,6.2,0,0,0,0,0,0.1457,3.01,10.57,0.09,6.54,0.1084,3.53,2.56,14.61,0.07,0,0,0,0,0,0,6.04,6.04,0,0,17.84,6.04,6.04,0,100,,12,1.5,4.00,1,42,35,37,37,142,46,172,172,,,,,,,,9.33,32.76,0.28,1.31,0.95,5.71,0.03,,,,,,,
C.J. Uzomah,,0,TE,3000,CIN,vs SF,5,23.50,5.4,11.4,8.2,0,0,0,0,0,0,0,0,0,3.57,0.109,3.57,2.54,23.61,0.19,0,0,0,0,0,0,6.04,6.04,0,0,16.84,6.04,6.04,0,100,,13,2,9.60,3.2,10,22,26,26,100,56,172,172,,,,,,,,,,,3.6,2.56,24.89,0.2,,,,,,,
Texans,,0,DST,2400,HOU,vs SEA,27,25,6.3,2.7,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,1.18,0.59,0.08,0,25,5.9,5.9,0,0,18.5,5.9,5.9,0,100,,0,2.5,-1.00,,15,16,14,14,179,62,173,173,,,,,,,,,,,,,,,2.2,0.76,0.52,0.15,0.02,23.64,364.37
Equanimeous St. Brown,!,0,WR,3100,GB,vs CHI,11,27.00,3.6,3.1,1.8,0,0,0,0,0,0,0,0,0,3.92,0.1132,3.92,2.11,31.43,0.1,0,0,0,0,0,0,5.85,5.85,0,0.45,13.05,5.85,5.85,0,100,,3,1.9,0.00,,81,49,76,76,175,55,174,174,,,,,,,,0.23,2,,2.29,1.23,19.03,0.06,,,,,,,
Bengals,,0,DST,2900,CIN,vs SF,12,25.5,5,2.8,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.89,0.49,0,0.08,25.5,5.84,5.84,0,0,15.84,5.84,5.84,0,100,,12,2,5.00,1.7,11,11,15,15,134,57,175,175,,,,,,,,,,,,,,,2.14,0.89,0.34,0.11,0.02,22.66,372.92
Dontrell Hilliard,,0,RB,5300,TEN,vs JAC,24,26.25,6.2,1.2,19.3,0,0,0,0,0,0.155,4.12,23.56,0.2,5.51,0.0438,1.39,1.13,9.01,0.04,0,0,0,0,0,0,5.83,5.83,0,0,18.23,5.83,5.83,0,100,,13,1.1,1.30,0.2,53,23,38,38,168,33,176,176,0.04,,,0.04,,,-16.58,3.28,18.76,0.16,2.56,2.08,16.32,0.08,,,,,,,
Ricky Seals-Jones,,0,TE,3600,WAS,vs DAL,10,21.00,5.5,0,8.3,0,0,0,0,0,0,0,0,0,3.89,0.1207,3.89,2.08,23.41,0.23,0,0,0,0,0,0,5.8,5.8,0,0,16.8,5.8,5.8,0,100,,5,1.6,1.80,0.5,36,16,27,27,163,50,177,177,,,,,,,,,,,3.84,2.05,23.73,0.23,,,,,,,
Will Dissly,,0,TE,2500,SEA,@ HOU,15,25.00,5.9,3.9,4.1,0,0,0,0,0,0,0,0,0,2.53,0.0809,2.53,2.05,22.08,0.25,0,0,0,0,0,0,5.76,5.76,0,0,17.56,5.76,5.76,0,100,,9,2.3,5.80,2.3,19,27,28,28,125,61,178,178,,,,,,,,0.02,0.17,,2.68,2.17,24.8,0.29,,,,,,,
Kyle Rudolph,,0,TE,2600,NYG,@ LAC,26,17.25,6.5,5.5,4.4,0,0,0,0,0,0,0,0,0,3.44,0.1027,3.44,2.4,21.42,0.2,0,0,0,0,0,0,5.74,5.74,0,0,18.74,5.74,5.74,0,100,,22,2.2,8.60,3.3,14,26,29,29,108,60,179,179,,,,,,,,,,,4.61,3.21,31.99,0.3,,,,,,,
Giants,,0,DST,2300,NYG,@ LAC,5,26.25,6,6.3,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,1.08,0.5,0.08,0.08,26.25,5.72,5.72,0,0,17.72,5.72,5.72,0,100,,2,2.5,-2.00,,16,17,16,16,180,63,180,180,,,,,,,,,,,,,,,2,0.82,0.52,0.17,0.03,23.82,370.98
Ameer Abdullah,,0,RB,4800,CAR,vs ATL,25,21.75,5.2,2.7,3.5,0,0,0,0,0,0.1288,3.21,12.41,0.05,5.9,0.0774,2.69,1.92,14.62,0.13,0,0,0,0,0,0,5.7,5.7,0,0,16.1,5.7,5.7,0,100,,15,1.2,5.30,1.1,38,28,39,39,130,38,181,181,,,,,,,,5.69,22,0.08,2.35,1.68,12.43,0.1,,,,,,,
Samaje Perine,,0,RB,4200,CIN,vs SF,23,23.50,6.3,5.5,5.9,0,0,0,0,0,0.156,4.77,18.66,0.08,6.74,0.0602,1.97,1.65,11.9,0.08,0,0,0,0,0,0,5.67,5.67,0,0,18.27,5.67,5.67,0,100,,0,1.4,7.30,1.7,34,34,40,40,117,44,182,182,,,,,,,,6.2,24.25,0.1,1.71,1.43,10.8,0.08,,,,,,,
Jordan Akins,,0,TE,2600,HOU,vs SEA,29,16.00,4.1,6.4,4.2,0,0,0,0,0,0,0,0,0,3.59,0.1252,3.59,2.54,25.7,0.08,0,0,0,0,0,0,5.59,5.59,0,0,13.79,5.59,5.59,0,100,,16,2.2,1.60,0.6,37,26,30,30,165,60,183,183,,,,,,,,0.04,0.12,,3,2.12,23.37,0.07,,,,,,,
49ers,,0,DST,3000,SF,@ CIN,7,23.5,5.7,5.3,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0.49,0.65,0,0.17,23.5,5.56,5.56,0,0,16.96,5.56,5.56,0,100,,5,1.9,9.00,3,7,10,17,17,105,56,184,184,,,,,,,,,,,,,,,2.37,0.61,0.54,0.11,0.02,23.45,341.67
Chris Conley,,0,WR,3300,HOU,vs SEA,1,16.00,5.4,7,4.2,0,0,0,0,0,0,0,0,0,3.59,0.1252,3.59,2.11,25.09,0.15,0,0,0,0,0,0,5.52,5.52,0,0,16.32,5.52,5.52,0,100,,16,1.7,4.00,1.2,66,47,77,77,142,53,185,185,,,,,,,,0.01,0.03,,3.97,2.33,30.19,0.17,,,,,,,
Josh Palmer,,0,WR,3000,LAC,vs NYG,14,26.25,5.4,0,3.8,0,0,0,0,0,0,0,0,0,3.19,0.0802,3.19,2.11,21.66,0.2,0,0,0,0,0,0,5.48,5.48,0,0,16.28,5.48,5.48,0,100,,21,1.8,17.60,5.9,18,50,78,78,49,56,186,186,,,,,,,,0.11,0.53,,3.74,2.47,26.95,0.26,,,,,,,
MyCole Pruitt,,0,TE,2500,TEN,vs JAC,12,26.25,2.9,4.4,5.1,0,0,0,0,0,0,0,0,0,2.48,0.0782,2.48,1.84,19.33,0.28,0,0,0,0,0,0,5.45,5.45,0,1.1,11.25,5.45,5.45,0,100,,12,2.2,1.50,0.6,38,27,31,31,166,61,187,187,,,,,,,,,,,1.56,1.16,11.96,0.16,,,,,,,
Juwan Johnson,,0,TE,2900,NO,@ NYJ,31,23.00,4.1,1.6,4.6,0,0,0,0,0,0,0,0,0,3.54,0.1067,3.54,1.88,22.6,0.21,0,0,0,0,0,0,5.4,5.4,0,0,13.6,5.4,5.4,0,100,,0,1.9,2.50,0.9,32,23,32,32,155,57,188,188,,,,,,,,,,,2.33,1.24,14.95,0.19,,,,,,,
Steelers,,0,DST,3100,PIT,@ MIN,9,23.75,6.1,8.4,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06,0.5,0.42,0,0.08,23.75,5.38,5.38,0,0,17.58,5.38,5.38,0,100,,25,1.7,0.00,,14,9,18,18,175,55,189,189,,,,,,,,,,,,,,,3.03,0.93,0.62,0.14,0.04,20.94,337.82
Bears,,0,DST,2600,CHI,@ GB,13,27,6,5.5,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64,0.4,0.48,0,0.16,27,5.36,5.36,0,0,17.36,5.36,5.36,0,100,,13,2.1,5.00,1.9,11,14,19,19,134,60,190,190,,,,,,,,,,,,,,,2.39,0.71,0.53,0.18,0.04,21.18,332.45
Nico Collins,,0,WR,3000,HOU,vs SEA,1,16.00,3.6,0,4.5,0,0,0,0,0,0,0,0,0,3.96,0.1381,3.96,2.12,28.96,0.05,0,0,0,0,0,0,5.32,5.32,0,0,12.52,5.32,5.32,0,100,,44,1.8,11.90,4,37,50,79,79,85,56,191,191,,,,,,,,,,,4.56,2.44,36.28,0.06,,,,,,,
