,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Actual Data,,Position Rankings,,,,Overall Rankings,,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Patrick Taylor,,0,RB,4000,GB,vs PIT,6,25.50,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,5.75,22.25,0.25,0.5,0.5,0.75,,,,,,,,
Damarea Crockett,,0,RB,4000,DEN,vs BAL,10,22.50,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,3,7,,,,,,,,,,,,
Mike Boone,!,0,RB,4000,DEN,vs BAL,10,22.50,6.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,3.95,21.79,0.21,0.63,0.53,2.74,,,,,,,,
Levante Bellamy,,0,RB,4000,DEN,vs BAL,10,22.50,1.3,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,2,5.5,,0.5,0.5,2.5,,,,,,,,
Stevie Scott III,,0,RB,4000,DEN,vs BAL,10,22.50,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Mekhi Sargent,!,0,RB,4000,TEN,@ NYJ,18,24.75,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,67,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,1.25,2.75,,0.25,,,,,,,,,,
Khari Blasingame,,0,RB,4000,TEN,@ NYJ,18,24.75,1.8,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,0.23,0.46,,1,0.77,7.46,,,,,,,,
Brian Hill,,0,RB,4000,TEN,@ NYJ,18,24.75,4.3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,26,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,6.33,29.76,0.09,1.45,1.15,9.48,0.03,,,,,,,
Tory Carter,,0,RB,4000,TEN,@ NYJ,18,24.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Matt Barkley,,0,QB,4000,TEN,@ NYJ,29,24.75,8,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,22,0,0.00,,36,33,35,35,187,44,289,289,24.08,14,184.54,1.38,0.69,0.85,72.02,1.38,-0.77,,,,,,,,,,,,
Logan Woodside,,0,QB,4000,TEN,@ NYJ,29,24.75,0.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,36,33,35,35,187,44,289,289,0.33,0.11,0.78,,,,15.04,1.44,0.44,,,,,,,,,,,,
Michael Burton,,0,RB,4000,KC,@ PHI,20,30.50,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.50,0.1,58,36,73,73,182,44,289,289,,,,,,,,,,,,,,,,,,,,,
Elijah McGuire,,0,RB,4000,KC,@ PHI,20,30.50,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,6,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,7.83,25.7,0.17,2.48,1.57,16.09,0.09,,,,,,,
Derrick Gore,,0,RB,4000,KC,@ PHI,20,30.50,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,11,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,6,28.78,0.22,1,0.89,11.67,,,,,,,,
Jerick McKinnon,,0,RB,4000,KC,@ PHI,20,30.50,7.5,9,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,16,0,0.00,,63,36,73,73,187,44,289,289,0.01,,,,,,0.53,6.76,26.48,0.17,3.31,2.48,19.11,0.12,,,,,,,
Chad Henne,,0,QB,4000,KC,@ PHI,21,30.50,4.7,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,36,33,35,35,187,44,289,289,5.58,3.92,35.42,0.08,0.25,0.17,47.08,2,0.5,0.08,,,,,,,,,,,
Mikey Daniel,,0,RB,4000,CAR,@ DAL,21,23.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Mason Stokke,,0,RB,4000,CAR,@ DAL,21,23.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Reggie Bonnafon,,0,RB,4000,CAR,@ DAL,21,23.75,5,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,2.64,17.18,0.09,1.18,0.91,7.91,0.09,,,,,,,
Rod Smith,,0,RB,4000,CAR,@ DAL,21,23.75,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,3,8.53,0.07,0.87,0.67,4.27,,,,,,,,
Phillip Walker,,0,QB,4000,CAR,@ DAL,25,23.75,3.9,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,36,33,35,35,187,44,289,289,13.56,7.56,81.11,0.89,1.22,0.22,50.16,1.33,1.22,,,,,,,,,,,,
James Morgan,,0,QB,4000,CAR,@ DAL,25,23.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,36,33,35,35,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Rodney Smith,,0,RB,4000,CAR,@ DAL,21,23.75,3.3,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,43,0,9.80,2.5,27,36,73,73,102,44,289,289,,,,,,,,5.13,19.5,0.13,2,1.75,13.38,,,,,,,,
Spencer Brown,,0,RB,4000,CAR,@ DAL,21,23.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Giovanni Ricci,,0,RB,4000,CAR,@ DAL,21,23.75,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,1.33,0.33,5.33,,,,,,,,
Alfred Morris,,0,RB,4000,NYG,@ NO,9,17.75,5.3,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,8.84,34.95,0.11,0.72,0.49,3.26,0.02,,,,,,,
Eli Penny,,0,RB,4000,NYG,@ NO,9,17.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Dexter Williams,,0,RB,4000,NYG,@ NO,9,17.75,0.3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,50,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,2.33,6.33,,,,,,,,,,,,
Gary Brightwell,,0,RB,4000,NYG,@ NO,9,17.75,0.5,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,55,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,0.67,6,,0.33,0.33,2,,,,,,,,
Brian Lewerke,,0,QB,4000,NYG,@ NO,7,17.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,36,33,35,35,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Mike Glennon,,0,QB,4000,NYG,@ NO,7,17.75,6.3,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,31,0,0.00,,36,33,35,35,187,44,289,289,26.4,16.25,150,1,1.35,0.9,80.21,0.95,2.7,0.05,,,,,,,,,,,
Clayton Thorson,!,0,QB,4000,NYG,@ NO,7,17.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,,,36,33,35,35,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Taquan Mizzell,,0,RB,4000,NYG,@ NO,9,17.75,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,1.11,1.67,,1.22,0.89,8.67,0.11,,,,,,,
Cullen Gillaspia,,0,RB,4000,NYG,@ NO,9,17.75,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,1,1,6,,,,,,,,
Sandro Platzgummer,,0,RB,4000,NYG,@ NO,9,17.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
John Kelly,,0,RB,4000,CLE,@ MIN,31,26.25,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,14,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,6.4,19.2,,0.6,0.4,5.4,,,,,,,,
D'Ernest Johnson,,0,RB,4000,CLE,@ MIN,31,26.25,7.6,1.3,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,5.96,31.35,0.13,1.57,1.22,9.65,,,,,,,,
Tre Harbison,,0,RB,4000,CLE,@ MIN,31,26.25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Andy Janovich,,0,RB,4000,CLE,@ MIN,31,26.25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,2.00,0.5,51,36,73,73,170,44,289,289,,,,,,,,,,,,,,,,,,,,,
Tim Boyle,!,0,QB,4000,DET,@ CHI,23,19.25,5.4,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,,,36,33,35,35,187,44,289,289,7,4.57,38.64,0.43,,0.21,18.65,1.43,-0.21,,,,,,,,,,,,
Steven Montez,,0,QB,4000,DET,@ CHI,23,19.25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,,,36,33,35,35,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Jordan Ta'amu,,0,QB,4000,DET,@ CHI,23,19.25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,36,33,35,35,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Godwin Igwebuike,,0,RB,4000,DET,@ CHI,8,19.25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Dedrick Mills,,0,RB,4000,DET,@ CHI,8,19.25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Jason Cabinda,,0,RB,4000,DET,@ CHI,8,19.25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Craig Reynolds,,0,RB,4000,DET,@ CHI,8,19.25,5.4,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,14,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,8.43,35.71,,1.43,1.29,9.71,,,,,,,,
Jermar Jefferson,!,0,RB,4000,DET,@ CHI,8,19.25,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,19,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,3.75,18.5,0.5,1.25,1,5.75,,,,,,,,
Mike Warren,!,0,RB,4000,DET,@ CHI,8,19.25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Scottie Phillips,!,0,RB,4000,HOU,@ BUF,12,15.00,1.6,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,30,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,2.67,7.33,,1.33,1,5.33,,,,,,,,
Deshaun Watson,!,0,QB,4000,HOU,@ BUF,11,15.00,9.3,25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,61,0,0.00,,36,33,35,35,187,44,289,289,32.36,21.81,265.85,0.66,3.2,1.86,103.39,5.68,31.27,0.32,,,,,,,,,,,
Jeff Driskel,,0,QB,4000,HOU,@ BUF,11,15.00,7.7,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,33,0,0.00,,36,33,35,35,187,44,289,289,21.56,12.63,132.5,0.5,2.38,0.81,70.89,3.44,20.25,0.19,,,,,,,,,,,
Dontrell Hilliard,,0,RB,4000,HOU,@ BUF,12,15.00,6.5,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,10,0,0.00,,63,36,73,73,187,44,289,289,0.04,,,0.04,,,-18.03,3.48,19.78,0.17,2.57,2.04,15.65,0.09,,,,,,,
Darius Jackson,,0,RB,4000,HOU,@ BUF,12,15.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,6,16,,1,,,,,,,,,,
Jalen Morton,,0,QB,4000,IND,@ MIA,13,20.00,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,36,33,35,35,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Jacob Eason,!,0,QB,4000,IND,@ MIA,13,20.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,36,33,35,35,187,44,289,289,5,2,25,1,,,16.7,,,,,,,,,,,,,,
Sam Ehlinger,!,0,QB,4000,IND,@ MIA,13,20.00,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,,,36,33,35,35,187,44,289,289,,,,,,,,1,3,,,,,,,,,,,,
Darius Anderson,,0,RB,4000,IND,@ MIA,14,20.00,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Benny LeMay,,0,RB,4000,IND,@ MIA,14,20.00,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Jordan Wilkins,,0,RB,4000,IND,@ MIA,14,20.00,4.2,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,9,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,5.05,24.62,0.1,1.15,0.9,5.97,,,,,,,,
Deon Jackson,,0,RB,4000,IND,@ MIA,14,20.00,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,3.75,7,0.25,,,,,,,,,,,
Kyle Shurmur,,0,QB,4000,WAS,@ ATL,17,24.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,36,33,35,35,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Jonathan Williams,,0,RB,4000,WAS,@ ATL,13,24.75,6.2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,0.05,,,,,,1.89,4.62,19.67,0.14,0.86,0.71,5.19,,,,,,,,
Jaret Patterson,,0,RB,4000,WAS,@ ATL,13,24.75,5.2,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,2.20,0.6,49,36,73,73,168,44,289,289,,,,,,,,4.86,19,0.14,0.79,0.71,5.21,,,,,,,,
Lamar Miller,,0,RB,4000,WAS,@ ATL,13,24.75,8.1,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,40,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,14.91,61.17,0.34,3.05,2.37,17.85,0.11,,,,,,,
Josh Johnson,,0,RB,4000,SEA,@ SF,15,25.00,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,31,0,0.00,,63,36,73,73,187,44,289,289,28.33,19,212.67,0.67,1,1.67,87.73,3,9.33,,,,,,,,,,,,
Cameron Scarlett,,0,RB,4000,SEA,@ SF,15,25.00,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Rashaad Penny,!,0,RB,4000,SEA,@ SF,15,25.00,9.6,1.1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,8.16,45.3,0.3,0.92,0.68,5.76,0.03,,,,,,,
Nick Bellore,,0,RB,4000,SEA,@ SF,15,25.00,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
DeeJay Dallas,,0,RB,4000,SEA,@ SF,15,25.00,5.7,6.3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,2,0,0.00,,63,36,73,73,187,44,289,289,0.05,,,0.05,,,,3.35,12.3,0.2,2.15,1.9,12.2,0.05,,,,,,,
Alex Collins,,0,RB,4000,SEA,@ SF,15,25.00,6.3,8.9,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,28,0,15.80,4,15,36,73,73,64,44,289,289,,,,,,,,9.96,41.17,0.35,1.73,1.27,10.23,0.02,,,,,,,
Alex McGough,,0,QB,4000,SEA,@ SF,4,25.00,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,36,33,35,35,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Colt McCoy,,0,QB,4000,ARI,@ LAR,2,25.00,7.5,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,-0.20,,37,33,35,35,189,44,289,289,16.06,10.81,108.56,0.38,1.5,0.5,72.17,2.88,7.69,,,,,,,,,,,,
Jonathan Ward,,0,RB,4000,ARI,@ LAR,7,25.00,2.5,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,1.29,4.71,,0.71,0.57,6.43,0.14,,,,,,,
Tavien Feaster,,0,RB,4000,ARI,@ LAR,7,25.00,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Khalfani Muhammad,,0,RB,4000,ARI,@ LAR,7,25.00,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Eno Benjamin,!,0,RB,4000,ARI,@ LAR,7,25.00,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,29,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,5,18.5,0.1,1.7,1.4,12.1,,,,,,,,
Kalen Ballage,,0,RB,4000,PIT,@ GB,2,19.50,5.1,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,5.17,16.14,0.17,1.88,1.29,6.98,,,,,,,,
Anthony McFarland,!,0,RB,4000,PIT,@ GB,2,19.50,1.7,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,11,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,2.77,8.92,,0.85,0.54,5,,,,,,,,
Benny Snell Jr.,,0,RB,4000,PIT,@ GB,2,19.50,5.1,5.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,6.45,22.43,0.15,0.65,0.45,2.93,,,,,,,,
Joshua Dobbs,!,0,QB,4000,PIT,@ GB,18,19.50,0.9,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,36,33,35,35,187,44,289,289,2.83,1.67,7.5,0.17,,,49.62,1,5.17,,,,,,,,,,,,
Jaylen Samuels,,0,RB,4000,PIT,@ GB,2,19.50,6.7,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,3,0,0.00,,63,36,73,73,187,44,289,289,0.16,0.13,1.09,0.03,,,-0.87,4.25,14.63,0.03,3.25,2.66,17.63,0.13,,,,,,,
Trey Edmunds,,0,RB,4000,PIT,@ GB,2,19.50,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,16,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,4.43,20,0.14,1,0.86,6.86,,,,,,,,
Derek Watt,,0,RB,4000,PIT,@ GB,2,19.50,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,,,,,,,,,,,,,,
Tony Brooks-James,,0,RB,4000,PIT,@ GB,2,19.50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,0.00,,63,36,73,73,187,44,289,289,,,,,,,,2.67,2.33,,,,,,,,,,,,
Le'Veon Bell,,0,RB,4000,BAL,@ DEN,25,21.50,11.4,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,34,0,1.10,0.3,56,36,73,73,179,44,289,289,0.01,,,,,,0.55,15.9,66.15,0.4,4.92,3.94,29.54,0.1,,,,,,,
Patrick Ricard,,0,RB,4000,BAL,@ DEN,25,21.50,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,1.40,0.4,54,36,73,73,176,44,289,289,,,,,,,,,,,,,,,,,,,,,
