player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Ray-Ray McCloud III,47895,WR,ATL,1,7.8,2,100.0,100.0,2,2,0,0.0,0,3,2,0,72.1,68.3,72.6,77.7,74.1,0.0,0,0,60,7.1,3,42,0,4,85.7,36,28.6,12,118.8,4,0,71.4,30,95,64,16.0,23.8,2.64
Tyler Boyd,10689,WR,TEN,1,9.8,0,75.0,100.0,1,1,0,0.0,0,2,31,0,70.5,65.8,65.3,,64.7,0.0,0,0,16,0.0,0,39,0,3,89.7,35,87.2,34,103.1,4,0,12.8,5,37,11,3.7,12.3,1.06
Austin Hooper,10715,TE,NE,1,8.0,0,100.0,100.0,2,2,0,0.0,0,3,19,1,73.4,16.0,81.8,66.3,79.6,64.7,11,0,16,5.9,1,17,0,4,82.4,14,23.5,4,150.0,4,1,11.8,2,42,10,2.5,10.5,3.0
Cooper Kupp,11824,WR,LA,1,9.8,0,75.0,100.0,1,1,0,0.0,0,0,26,0,70.5,65.8,52.9,,53.0,0.0,0,0,7,0.0,0,25,0,3,96.0,24,60.0,15,82.3,4,0,40.0,10,17,1,0.3,5.7,0.71
James Conner,11860,HB,ARZ,1,-1.3,0,75.0,,0,0,0,25.0,1,0,1,0,41.6,77.2,77.9,84.6,58.3,0.0,0,0,7,24.1,7,29,0,3,72.4,21,10.3,3,78.1,4,0,3.4,1,13,15,5.0,4.3,0.62
Aaron Jones,11937,HB,MIN,1,3.3,1,75.0,,0,0,0,25.0,1,1,18,1,36.2,11.8,41.5,34.9,26.0,0.0,0,0,5,18.2,4,22,0,3,77.3,17,0.0,0,116.7,4,1,0.0,0,6,11,3.7,2.0,0.35
Noah Brown,11993,WR,WAS,1,9.0,0,75.0,0.0,0,1,0,0.0,0,1,32,0,70.5,65.8,68.9,,65.6,0.0,0,0,11,0.0,0,22,0,3,86.4,19,18.2,4,92.7,4,0,81.8,18,27,5,1.7,9.0,1.42
Devin Duvernay,40006,WR,JAX,1,14.8,0,50.0,100.0,1,1,0,0.0,0,2,15,0,68.3,73.8,64.2,,62.1,0.0,0,0,18,0.0,0,29,0,2,96.6,28,55.2,16,67.7,4,0,44.8,13,23,22,11.0,11.5,0.82
Noah Fant,42388,TE,SEA,1,3.8,0,75.0,,0,0,0,0.0,0,0,29,0,70.5,65.8,56.7,61.7,58.6,41.9,13,0,11,9.7,3,31,0,3,87.1,27,41.9,13,91.7,4,0,12.9,4,26,12,4.0,8.7,0.96
Josh Jacobs,45953,HB,GB,1,0.8,7,100.0,,0,0,0,0.0,0,2,12,0,72.1,77.5,86.4,80.3,90.7,4.8,1,0,49,19.0,4,21,0,4,76.2,16,4.8,1,118.8,4,0,0.0,0,74,71,17.8,18.5,4.63
