QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,RB,Deon Jackson (20285863),Deon Jackson,20285863,RB/FLEX,4000,TB@IND 11/28/2021 01:00PM ET,IND,0.3
,,,,,,,,,,WR,T.Y. Hilton (20285975),T.Y. Hilton,20285975,WR/FLEX,4000,TB@IND 11/28/2021 01:00PM ET,IND,5.42
,,,,,,,,,,QB,Gardner Minshew II (20285627),Gardner Minshew II,20285627,QB,4000,PHI@NYG 11/28/2021 01:00PM ET,PHI,0.44
,,,,,,,,,,QB,Reid Sinnett (20285628),Reid Sinnett,20285628,QB,4000,PHI@NYG 11/28/2021 01:00PM ET,PHI,0
,,,,,,,,,,QB,Brian Lewerke (20285629),Brian Lewerke,20285629,QB,4000,PHI@NYG 11/28/2021 01:00PM ET,NYG,0
,,,,,,,,,,RB,Boston Scott (20285721),Boston Scott,20285721,RB/FLEX,4000,PHI@NYG 11/28/2021 01:00PM ET,PHI,4.61
,,,,,,,,,,RB,Jason Huntley (20285843),Jason Huntley,20285843,RB/FLEX,4000,PHI@NYG 11/28/2021 01:00PM ET,PHI,0
,,,,,,,,,,RB,Gary Brightwell (20285845),Gary Brightwell,20285845,RB/FLEX,4000,PHI@NYG 11/28/2021 01:00PM ET,NYG,0.22
,,,,,,,,,,RB,Jonathan Williams (20285847),Jonathan Williams,20285847,RB/FLEX,4000,PHI@NYG 11/28/2021 01:00PM ET,NYG,0
,,,,,,,,,,RB,Sandro Platzgummer (20285849),Sandro Platzgummer,20285849,RB/FLEX,4000,PHI@NYG 11/28/2021 01:00PM ET,NYG,0
