,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Sean Mannion,,0,QB,4000,SEA,@ SF,18,16.50,3.6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,18,13,13,37,105,105,7.86,4.79,40.93,0.21,0.36,0.07,39.71,1.79,-0.21,,,,,,,,,,,,
Travis Homer,!,0,RB,4000,SEA,@ SF,1,16.50,4.4,4.4,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,12,0,26,27,27,37,105,105,,,,,,,,2.77,13.66,0.03,1.86,1.57,14.17,0.06,,,,,,,
Godwin Igwebuike,,0,RB,4000,SEA,@ SF,1,16.50,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,3,4,,1,1,3,,,,,,,,
Rashaad Penny,!,0,RB,4000,SEA,@ SF,1,16.50,10,13.4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,8.53,48.68,0.33,0.9,0.68,5.55,0.03,,,,,,,
Cullen Gillaspia,!,0,RB,4000,SEA,@ SF,1,16.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,,,,1,1,6,,,,,,,,
Darwin Thompson,,0,RB,4000,SEA,@ SF,1,16.50,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,3.88,13.65,0.12,1.35,0.94,6.35,0.06,,,,,,,
Tony Jones,,0,RB,4000,SEA,@ SF,1,16.50,1.9,2.2,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,21,0,26,27,27,37,105,105,,,,,,,,4.79,12.79,,1.14,0.71,4.21,,,,,,,,
Wayne Gallman,,0,RB,4000,SEA,@ SF,1,16.50,6.2,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,3,0,26,27,27,37,105,105,,,,,,,,6.65,28.15,0.16,2.09,1.47,9.44,0.04,,,,,,,
Easton Stick,,0,QB,4000,LAC,@ JAC,27,24.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,18,13,13,37,105,105,1,1,4,,,,83.3,1,-2,,,,,,,,,,,,
Zander Horvath,,0,RB,4000,LAC,@ JAC,12,24.75,3.3,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,0.5,1,,1,0.63,1,0.25,,,,,,,
Mike Glennon,,0,QB,4000,MIA,@ BUF,19,15.25,6.3,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,31,0,18,13,13,37,105,105,26.4,16.25,150,1,1.35,0.9,80.21,0.95,2.7,0.05,,,,,,,,,,,
Salvon Ahmed,,0,RB,4000,MIA,@ BUF,11,15.25,6,3.5,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,6.13,23.13,0.17,1.48,1.04,8.09,,,,,,,,
Myles Gaskin,!,0,RB,4000,MIA,@ BUF,11,15.25,8.1,10.3,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,24,0,26,27,27,37,105,105,,,,,,,,10.03,37.64,0.19,3.56,2.81,19.47,0.17,,,,,,,
Alec Ingold,,0,RB,4000,MIA,@ BUF,11,15.25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,,,,,,,,,,,,,,
La'Mical Perine,,0,RB,4000,MIA,@ BUF,11,15.25,3.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,29,0,26,27,27,37,105,105,,,,,,,,6.55,23.91,0.18,1.36,1,5.73,,,,,,,,
Jake Bargas,,0,RB,4000,MIA,@ BUF,11,15.25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,,,,,,,,,,,,,,
John Lovett,,0,RB,4000,MIA,@ BUF,11,15.25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,,,,,,,,,,,,,,
Sandro Platzgummer,,0,RB,4000,NYG,@ MIN,24,22.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,,,,,,,,,,,,,,
Jashaun Corbin,,0,RB,4000,NYG,@ MIN,24,22.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,,,,,,,,,,,,,,
Brett Hundley,,0,QB,4000,BAL,@ CIN,12,15.75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,18,13,13,37,105,105,17.74,10.47,100.11,0.68,1.63,0.47,55.46,2.47,17,0.11,,,,,,,,,,,
Justice Hill,,0,RB,4000,BAL,@ CIN,4,15.75,3.1,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,3.31,15.19,0.06,1.06,0.81,4.83,,,,,,,,
Ben Mason,,0,RB,4000,BAL,@ CIN,4,15.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,,,,,,,,,,,,,,
Ricky Person,,0,RB,4000,BAL,@ CIN,4,15.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,,,,,,,,,,,,,,
Patrick Ricard,,0,RB,4000,BAL,@ CIN,4,15.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,,,,,,,,,,,,,,
Will Grier,,0,QB,4000,DAL,@ TB,32,23.75,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,18,13,13,37,105,105,26,14,114,2,3,,4.25,3.5,11,,,,,,,,,,,,
Rico Dowdle,!,0,RB,4000,DAL,@ TB,13,23.75,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,26,27,27,37,105,105,,,,,,,,3.5,12,,,,,,,,,,,,
Qadree Ollison,,0,RB,4000,DAL,@ TB,13,23.75,3.1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,23,0,26,27,27,37,105,105,,,,,,,,3.38,12.15,0.38,0.62,0.38,1.46,,,,,,,,
Ray-Ray McCloud,,0,WR,3100,SF,vs SEA,4,25.50,3.8,4.2,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,32,40,40,46,105,105,,,,,,,,0.26,3.45,0.02,2.57,1.7,13.89,0.02,,,,,,,
John Brown,,0,WR,3100,BUF,vs MIA,2,28.25,8,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,22,0,32,40,40,46,105,105,0.02,0.02,0.48,,,0.02,11.22,0.12,0.6,,5.98,3.25,47.79,0.3,,,,,,,
Danny Gray,,0,WR,3000,SF,vs SEA,4,25.50,0.8,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,0.2,1.8,,1.4,0.2,2,,,,,,,,
Tay Martin,,0,WR,3000,SF,vs SEA,4,25.50,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
Dazz Newsome,,0,WR,3000,SF,vs SEA,4,25.50,1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,29,0,33,40,40,47,105,105,,,,,,,,,,,1.67,0.67,7.67,,,,,,,,
Willie Snead,,0,WR,3000,SF,vs SEA,4,25.50,6.8,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,18,0,33,40,40,47,105,105,0.02,0.01,0.54,,,0.01,2.15,0.03,0.16,,4.78,3.23,38.4,0.17,,,,,,,
Tim Jones,,0,WR,3000,JAC,vs LAC,11,22.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
Jamal Agnew,!,0,WR,3000,JAC,vs LAC,11,22.75,5.8,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,0.86,6.14,,2.14,1.64,13.36,0.21,,,,,,,
Kendric Pryor,!,0,WR,3000,JAC,vs LAC,11,22.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
Willie Johnson,,0,WR,3000,JAC,vs LAC,11,22.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
Calvin Ridley,!,0,WR,3000,JAC,vs LAC,11,22.75,9.6,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,41,0,33,40,40,47,105,105,,,,,,,,0.27,1.27,,7.76,5.06,68.2,0.57,,,,,,,
Seth Williams,,0,WR,3000,JAC,vs LAC,11,22.75,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,1,1,34,,,,,,,,
Jaylon Moore,,0,WR,3000,JAC,vs LAC,11,22.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
Kevin Austin Jr.,,0,WR,3000,JAC,vs LAC,11,22.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
Cole Beasley,,0,WR,3000,BUF,vs MIA,2,28.25,7.5,9.8,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,26,0,33,40,40,47,105,105,0.03,0.01,0.17,,,0.01,1.98,0.01,0.06,,5.76,4.11,42.77,0.23,,,,,,,
Khalil Shakir,,0,WR,3000,BUF,vs MIA,2,28.25,4.7,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,2,1,16.1,0.1,,,,,,,
Jake Kumerow,!,0,WR,3000,BUF,vs MIA,2,28.25,4.1,0.5,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,1.85,1.08,17.65,0.12,,,,,,,
Jamison Crowder,!,0,WR,3000,BUF,vs MIA,2,28.25,7.7,9.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,29,0,33,40,40,47,105,105,0.03,0.01,0.43,,0.01,0.01,2.35,0.17,0.81,,6.23,4.14,46.37,0.28,,,,,,,
KeeSean Johnson,,0,WR,3000,BUF,vs MIA,2,28.25,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,39,0,33,40,40,47,105,105,,,,,,,,0.06,0.17,,3.61,2,20,0.06,,,,,,,
Tanner Gentry,,0,WR,3000,BUF,vs MIA,2,28.25,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,1.4,0.6,7,,,,,,,,
Jalen Reagor,,0,WR,3000,MIN,vs NYG,14,25.75,4,4.4,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,17,0,33,40,40,47,105,105,,,,,,,,0.46,2.13,,3.26,1.87,20.54,0.1,,,,,,,
Jalen Nailor,,0,WR,3000,MIN,vs NYG,14,25.75,6.6,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,2.6,1.8,35.8,0.2,,,,,,,
Bisi Johnson,!,0,WR,3000,MIN,vs NYG,14,25.75,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,21,0,33,40,40,47,105,105,,,,,,,,0.05,0.27,,3.05,2.14,22.73,0.14,,,,,,,
Thomas Hennigan,,0,WR,3000,MIN,vs NYG,14,25.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
Dan Chisena,,0,WR,3000,MIN,vs NYG,14,25.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
Trishton Jackson,,0,WR,3000,MIN,vs NYG,14,25.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
Blake Proehl,,0,WR,3000,MIN,vs NYG,14,25.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
Trent Taylor,,0,WR,3000,CIN,vs BAL,9,24.75,4,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,11,0,33,40,40,47,105,105,,,,,,,,0.1,0.36,,3.19,2.07,19.86,0.07,,,,,,,
Stanley Morgan,,0,WR,3000,CIN,vs BAL,9,24.75,0.8,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,11,0,33,40,40,47,105,105,,,,,,,,0.11,0.33,,1.67,0.56,3.22,,,,,,,,
Tyron Johnson,,0,WR,3000,CIN,vs BAL,9,24.75,5.3,0.5,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,0.19,1.06,,2,1.44,26.38,0.19,,,,,,,
Kwamie Lassiter II,,0,WR,3000,CIN,vs BAL,9,24.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
Scotty Miller,,0,WR,3000,TB,vs DAL,31,21.75,5.7,3.7,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,0.23,2.23,0.02,3.2,1.89,23.86,0.11,,,,,,,
Breshad Perriman,,0,WR,3000,TB,vs DAL,31,21.75,7.1,5.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,0.14,0.21,,3.87,1.92,30.89,0.21,,,,,,,
Deven Thompkins,,0,WR,3000,TB,vs DAL,31,21.75,2.8,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,1,13,,5,2.5,16,,,,,,,,
Tyler Johnson,,0,WR,3000,TB,vs DAL,31,21.75,3.4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,23,0,33,40,40,47,105,105,,,,,,,,,,,2.93,1.9,20.86,0.07,,,,,,,
Dareke Young,,0,WR,3000,SEA,@ SF,25,16.50,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,2,2,24,,,,,,,,
Penny Hart,,0,WR,3000,SEA,@ SF,25,16.50,1.2,1.2,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,25,0,33,40,40,47,105,105,,,,,,,,0.08,1.46,,1.31,0.85,6.31,,,,,,,,
Cade Johnson,,0,WR,3000,SEA,@ SF,25,16.50,2,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,2,1,10.5,,,,,,,,
Marquise Goodwin,!,0,WR,3000,SEA,@ SF,25,16.50,7.1,4.3,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,3,0,33,40,40,47,105,105,,,,,,,,0.17,0.95,,4.21,2.22,35.5,0.2,,,,,,,
DWayne Eskridge,!,0,WR,3000,SEA,@ SF,25,16.50,3.2,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,0.38,4.31,,2.06,1.06,7.63,0.06,,,,,,,
Cody Thompson,!,0,WR,3000,SEA,@ SF,25,16.50,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
Easop Winston,,0,WR,3000,SEA,@ SF,25,16.50,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
Connor Wedington,,0,WR,3000,SEA,@ SF,25,16.50,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
Michael Bandy,,0,WR,3000,LAC,@ JAC,15,24.75,3,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,3,1.43,12.71,,,,,,,,
Jalen Guyton,!,0,WR,3000,LAC,@ JAC,15,24.75,5.1,6.1,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,15,0,33,40,40,47,105,105,,,,,,,,0.26,1,,3.15,1.79,30.09,0.18,,,,,,,
John Hightower,,0,WR,3000,LAC,@ JAC,15,24.75,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,10,0,33,40,40,47,105,105,,,,,,,,0.1,0.1,,2.9,1,16.7,,,,,,,,
Joe Reed,,0,WR,3000,LAC,@ JAC,15,24.75,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,1.67,9.67,0.33,0.33,,,,,,,,,,
Keelan Doss,,0,WR,3000,LAC,@ JAC,15,24.75,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,44,0,33,40,40,47,105,105,,,,,,,,,,,2.33,1.83,22.17,,,,,,,,
Jason Moore,,0,WR,3000,LAC,@ JAC,15,24.75,3.6,8.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,3,2,30.5,,,,,,,,
River Cracraft,,0,WR,3000,MIA,@ BUF,29,15.25,3.1,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,18,0,33,40,40,47,105,105,,,,,,,,,,,2.08,1.33,15.58,0.17,,,,,,,
Cedrick Wilson,!,0,WR,3000,MIA,@ BUF,29,15.25,7.9,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,0.14,0.14,3.08,,0.03,0.03,17.37,0.17,0.19,,3.44,2.33,28.75,0.22,,,,,,,
Erik Ezukanma,,0,WR,3000,MIA,@ BUF,29,15.25,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,1,1,3,,,,,,,,
Braylon Sanders,,0,WR,3000,MIA,@ BUF,29,15.25,1.4,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,1.5,1,8.5,,,,,,,,
Calvin Jackson,,0,WR,3000,MIA,@ BUF,29,15.25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
Kenny Golladay,,0,WR,3000,NYG,@ MIN,17,22.75,8.4,6.6,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,26,0,33,40,40,47,105,105,,,,,,,,0.03,0.25,,6.07,3.37,55.57,0.32,,,,,,,
Marcus Johnson,!,0,WR,3000,NYG,@ MIN,17,22.75,5.8,4,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,0.08,-0.11,,3.11,1.59,25.11,0.08,,,,,,,
Sterling Shepard,!,0,WR,3000,NYG,@ MIN,17,22.75,7.7,11.5,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,39,0,33,40,40,47,105,105,,,,,,,,0.3,2.37,0.01,7.32,4.82,53.96,0.29,,,,,,,
Wan'Dale Robinson,!,0,WR,3000,NYG,@ MIN,17,22.75,7.2,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,21,0,33,40,40,47,105,105,,,,,,,,0.33,-0.17,,5.17,3.83,37.83,0.17,,,,,,,
Collin Johnson,!,0,WR,3000,NYG,@ MIN,17,22.75,5.4,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,3.06,1.71,22.18,0.12,,,,,,,
Kalil Pimpleton,,0,WR,3000,NYG,@ MIN,17,22.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
Jaydon Mickens,,0,WR,3000,NYG,@ MIN,17,22.75,7.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,3.43,2.14,20.71,0.29,,,,,,,
Makai Polk,,0,WR,3000,NYG,@ MIN,17,22.75,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,,0,0,33,40,40,47,105,105,,,,,,,,,,,,,,,,,,,,,
David Sills,,0,WR,3000,NYG,@ MIN,17,22.75,1.8,0.9,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,22,0,33,40,40,47,105,105,,,,,,,,,,,2.09,1.18,11.18,,,,,,,,
James Proche,,0,WR,3000,BAL,@ CIN,30,15.75,4.2,5.2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,0,33,40,40,47,105,105,0.06,,,0.06,,,,,,,2.35,1.47,16.35,,,,,,,,
