rank,id,player,team,pos,game.week,opp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_draftkings
167,23161,Jonathan Mingo,CAR,WR,5,CHI,0.0,0.0,0.0,1.6,0.0,2.5,28.2,0.2,,,0.0,0.0,6.7
168,19626,Dare Ogunbowale,HOU,RB,5,BUF,0.0,0.0,0.0,11.4,0.1,2.4,19.3,0.1,,,0.0,0.0,6.7
169,14856,Zach Ertz,WAS,TE,5,CLE,0.0,0.0,0.0,0.0,0.0,3.0,30.0,0.1,,,0.0,0.0,6.6
170,23304,Cade York,WAS,K,5,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,6.6
171,24180,Demario Douglas,NE,WR,5,MIA,0.0,0.0,0.0,1.7,0.0,2.8,30.1,0.1,,,0.0,0.0,6.6
172,19922,Justin Watson,KC,WR,5,NO,0.0,0.0,0.0,0.0,0.0,2.1,32.1,0.2,,,0.0,0.0,6.5
173,21852,Ty Chandler,MIN,RB,5,NYJ,0.0,0.0,0.0,29.1,0.2,1.4,10.5,0.0,,,0.0,0.0,6.5
174,20753,Noah Fant,SEA,TE,5,NYG,0.0,0.0,0.0,0.0,0.0,2.6,26.2,0.2,,,0.0,0.0,6.4
175,19920,Dalton Schultz,HOU,TE,5,BUF,0.0,0.0,0.0,0.0,0.0,2.7,26.0,0.2,,,0.0,0.0,6.4
176,23256,Isaiah Likely,BAL,TE,5,CIN,0.0,0.0,0.0,0.0,0.0,2.4,27.8,0.2,,,0.0,0.0,6.4
177,19803,Mark Andrews,BAL,TE,5,CIN,0.0,0.0,0.0,0.0,0.0,2.4,27.6,0.2,,,0.0,0.0,6.4
178,19853,Mike Gesicki,CIN,TE,5,BAL,0.0,0.0,0.0,0.0,0.0,2.5,26.4,0.2,,,0.0,0.0,6.3
179,23341,Tyler Goodson,IND,RB,5,JAX,0.0,0.0,0.0,27.1,0.2,1.4,10.2,0.0,,,0.0,0.0,6.3
